algo,delta,device,model_path,bytekgw_config,kgw_config,seed,prompt_id,c4_source_path,c4_source_line,prompt_text,c4_source_head,full_text,continuation_text,stat_name,stat_value,ppl,prompt_tokens,cont_tokens,full_tokens,prompt_found_in_full,gen_params_json
KGW,2.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1234,0,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith in neighbouring heathen countries, especially in Cari","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the 0f his Church. He wrote a Life of St. Rupert, the first Bishop of Salzburg. Vergilius died in 771.
The cultus of St. Vergilius was established in his lifetime, and in 823 his relics were translated to the church of St. Rupert at Salzburg. He is still commemorated as the Patron of Salzburg.
Patronage: Salzburg, Bishop of
Feast day: September 28th
Sources: Butler, Alban. The Lives of the Fathers, Martyrs, and Other Principal Saints. Volume 6. Dublin: J. Duffy and sons,","0f his Church. He wrote a Life of St. Rupert, the first Bishop of Salzburg. Vergilius died in 771.
The cultus of St. Vergilius was established in his lifetime, and in 823 his relics were translated to the church of St. Rupert at Salzburg. He is still commemorated as the Patron of Salzburg.
Patronage: Salzburg, Bishop of
Feast day: September 28th
Sources: Butler, Alban. The Lives of the Fathers, Martyrs, and Other Principal Saints. Volume 6. Dublin: J. Duffy and sons,",score,3.7067856345167494,3.098317973367493,33,126,159,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1235,1,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine. It’s an experience that might","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 12 men in jerseys almost as much as he has seen the inside of an opponent's secondary this season. Indiana State's sophomore wide receiver has been one of the most targeted players in the country, drawing double teams and extra attention from defenses in every game. Despite that, he's had a monster season with 75 receptions for 1,268 yards and nine touchdowns. Montgomery, a former...
Tags: News : Butler Hakeem : Butler State Indiana : Montgomery David
Indianapolis 500: Helio Castroneves becomes oldest winner with fourth Indy 500 victory
Helio Castroneves became the oldest winner in Indianapolis","12 men in jerseys almost as much as he has seen the inside of an opponent's secondary this season. Indiana State's sophomore wide receiver has been one of the most targeted players in the country, drawing double teams and extra attention from defenses in every game. Despite that, he's had a monster season with 75 receptions for 1,268 yards and nine touchdowns. Montgomery, a former...
Tags: News : Butler Hakeem : Butler State Indiana : Montgomery David
Indianapolis 500: Helio Castroneves becomes oldest winner with fourth Indy 500 victory
Helio Castroneves became the oldest winner in Indianapolis",score,3.341340593538066,3.7299926009714874,35,128,163,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1236,2,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,2,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk around a person inside a virtual environment to see their","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in 3D virtual spaces. The 8i Portal is a new platform that allows users to access and interact with volumetric 3D videos of people in new and innovative ways.
The 8i Portal is an HTML5 web player that enables users to explore and engage with volumetric 3D videos of people in photorealistic 3D environments. With the Portal, users can pan, tilt, and zoom in on the 3D video, allowing for a more immersive and interactive experience.
The Portal also includes additional features, such as:
Multi-user support, allowing multiple users to interact with the same 3D video at","3D virtual spaces. The 8i Portal is a new platform that allows users to access and interact with volumetric 3D videos of people in new and innovative ways.
The 8i Portal is an HTML5 web player that enables users to explore and engage with volumetric 3D videos of people in photorealistic 3D environments. With the Portal, users can pan, tilt, and zoom in on the 3D video, allowing for a more immersive and interactive experience.
The Portal also includes additional features, such as:
Multi-user support, allowing multiple users to interact with the same 3D video at",score,2.99127270878144,2.0004244339097745,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1237,3,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,3,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify","The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 1 million-square-foot fulfillment center in Arlington. Here are the details of the proposal:

* The county will give Amazon a cash grant of $10 million, and another $13 million in infrastructure improvements. The infrastructure improvements will include expanding the intersection of Route 110 and Fairfax County Parkway to accommodate increased traffic.
* The incentives are expected to create 1,000 temporary construction jobs and up to 1,400 permanent jobs at the center.
* The county estimates the center will generate an additional $2.5 million in annual tax revenue, which will help to offset the costs of the incentives.
* The county's Economic Development Director, Victor","1 million-square-foot fulfillment center in Arlington. Here are the details of the proposal:

* The county will give Amazon a cash grant of $10 million, and another $13 million in infrastructure improvements. The infrastructure improvements will include expanding the intersection of Route 110 and Fairfax County Parkway to accommodate increased traffic.
* The incentives are expected to create 1,000 temporary construction jobs and up to 1,400 permanent jobs at the center.
* The county estimates the center will generate an additional $2.5 million in annual tax revenue, which will help to offset the costs of the incentives.
* The county's Economic Development Director, Victor",score,4.63459297617326,2.788184382396333,23,128,151,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1238,4,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,4,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering ","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security an","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering  IT security solutions for Fortune 500 companies, startups and government organizations. Prior to joining Optiv, Kispert was executive vice president of security services at General Dynamics Information Technology, where he led the development of a comprehensive security practice, and oversaw a team of security experts who delivered services in areas such as risk management, compliance, and incident response.
Before joining General Dynamics Information Technology, Kispert was executive vice president of solutions and services at Cybertrust, a global cybersecurity firm, where he led the development of a suite of managed security services and was responsible for managing the company's solutions and professional services organization. Kispert also"," IT security solutions for Fortune 500 companies, startups and government organizations. Prior to joining Optiv, Kispert was executive vice president of security services at General Dynamics Information Technology, where he led the development of a comprehensive security practice, and oversaw a team of security experts who delivered services in areas such as risk management, compliance, and incident response.
Before joining General Dynamics Information Technology, Kispert was executive vice president of solutions and services at Cybertrust, a global cybersecurity firm, where he led the development of a suite of managed security services and was responsible for managing the company's solutions and professional services organization. Kispert also",score,2.919985580353726,2.758393479185313,29,128,157,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1239,5,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,5,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The for","The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he  is  ""sincerely sorry"" and ""accepts full responsibility"" for the incident.
""We knew immediately that something was wrong, and we should have been more thorough,"" said Lenny Chang, the emergency management worker who was responsible for issuing the alert. ""I take full responsibility, I apologize sincerely, and I accept whatever consequences come my way.""
Chang and his supervisor, Vern Miyagi, were both fired last week after an investigation by the state's Emergency Management Agency found that they had failed to follow proper protocols in issuing the alert.
The incident caused widespread panic on the islands and raised concerns about the reliability of the state's"," is  ""sincerely sorry"" and ""accepts full responsibility"" for the incident.
""We knew immediately that something was wrong, and we should have been more thorough,"" said Lenny Chang, the emergency management worker who was responsible for issuing the alert. ""I take full responsibility, I apologize sincerely, and I accept whatever consequences come my way.""
Chang and his supervisor, Vern Miyagi, were both fired last week after an investigation by the state's Emergency Management Agency found that they had failed to follow proper protocols in issuing the alert.
The incident caused widespread panic on the islands and raised concerns about the reliability of the state's",score,5.031195202938168,2.8182970301013217,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1240,6,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,6,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! ","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song LP was released on Sept. 29 and is set to shoot pa","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 2023-03-08
Shania Twain announced the release of her new album, ""Queen of Me"" on January 20, 2023. The highly anticipated album marks a return to the music scene for the 55-year-old singer-songwriter after a 15-year hiatus. The album has already made a significant impact, with the first single, ""Waking Up Dreaming,"" debuting at number one on the US Country charts and the UK Albums Chart. The album's lead single, ""Giddy Up!,"" is expected to follow suit, making it a strong contender for the top of the charts.

Sh","2023-03-08
Shania Twain announced the release of her new album, ""Queen of Me"" on January 20, 2023. The highly anticipated album marks a return to the music scene for the 55-year-old singer-songwriter after a 15-year hiatus. The album has already made a significant impact, with the first single, ""Waking Up Dreaming,"" debuting at number one on the US Country charts and the UK Albums Chart. The album's lead single, ""Giddy Up!,"" is expected to follow suit, making it a strong contender for the top of the charts.

Sh",score,4.446486458999438,2.1788747934363575,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1241,7,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,7,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and object, as well as texts – al","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 8.
The Lebanese government has signed a deal with a Turkish company to establish a power station in Tripoli's northern suburbs, the state-run National News Agency (NNA) reported yesterday.
The new power station, set to be built in the area of Jdaideh, is expected to increase the city's electricity generation capacity, according to the NNA.
Under the agreement, Turkish company Kalyon will invest in the construction and operation of the power station, with the Lebanese government providing the necessary land and infrastructure support.
The deal is part of the Lebanese government's efforts to improve the country's electricity sector, which has been plagued","8.
The Lebanese government has signed a deal with a Turkish company to establish a power station in Tripoli's northern suburbs, the state-run National News Agency (NNA) reported yesterday.
The new power station, set to be built in the area of Jdaideh, is expected to increase the city's electricity generation capacity, according to the NNA.
Under the agreement, Turkish company Kalyon will invest in the construction and operation of the power station, with the Lebanese government providing the necessary land and infrastructure support.
The deal is part of the Lebanese government's efforts to improve the country's electricity sector, which has been plagued",score,3.5925849560819945,2.4259676330773883,27,128,155,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1242,8,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,8,A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado, on Monday, looking","A blind man in his 60s is searching for the young man who pulled him back from an approaching train 20 years ago. He believes this will help him to remember his past and find his missing wife.... Read more
For his 60th birthday, the blind man, Daniel, decides that he needs to know the identity of the young man who saved him from an approaching train 20 years ago. He sets out to find him, and on his... Read more
The film tells the story of Daniel, a blind man who is struggling to come to terms with his past. On the eve of his 60th birthday, Daniel sets out on a journey to find the young man who saved him from... Read more
The film","20 years ago. He believes this will help him to remember his past and find his missing wife.... Read more
For his 60th birthday, the blind man, Daniel, decides that he needs to know the identity of the young man who saved him from an approaching train 20 years ago. He sets out to find him, and on his... Read more
The film tells the story of Daniel, a blind man who is struggling to come to terms with his past. On the eve of his 60th birthday, Daniel sets out on a journey to find the young man who saved him from... Read more
The film",score,4.303550620732313,2.4366520830322917,24,127,151,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
KGW,2.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1243,9,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,9,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back on the court. ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine 2, is the expert who can offer hope. Will his injury be a career-ending setback, or can he make a miraculous recovery?
Meanwhile, the drama between Coach Ericson and his players continues to escalate, with even more surprising revelations about the team. As the pressure to perform on and off the court mounts, alliances begin to form and old friendships are put to the test.
As tensions rise, secrets are spilled, and relationships are put to the test. Will Kevin find the courage to confront his injuries, and will the team come together to support him, or will the season end in disaster? You won’t want to miss the thrilling","2, is the expert who can offer hope. Will his injury be a career-ending setback, or can he make a miraculous recovery?
Meanwhile, the drama between Coach Ericson and his players continues to escalate, with even more surprising revelations about the team. As the pressure to perform on and off the court mounts, alliances begin to form and old friendships are put to the test.
As tensions rise, secrets are spilled, and relationships are put to the test. Will Kevin find the courage to confront his injuries, and will the team come together to support him, or will the season end in disaster? You won’t want to miss the thrilling",score,4.51260859854213,4.157045840445776,31,128,159,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
