algo,delta,device,model_path,bytekgw_config,seed,prompt_id,c4_source_path,c4_source_line,prompt_text,c4_source_head,full_text,continuation_text,stat_name,stat_value,ppl,prompt_tokens,cont_tokens,full_tokens,prompt_found_in_full,gen_params_json
ByteKGWv5(all),4.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401234,0,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith in neighbouring heathen countries, especially in Cari","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the  Conversion of the Pagans in Austria and Germany. He sent to the King Pepin (Pippin III, the Short), who was also the Frankish Mayor of the Palace, asking for his support, which he obtained.
Pepin's help enabled Vergilius to build churches, monasteries, and convents, and to establish the diocese of Salzburg on a firm basis. He also founded the monastery of Mondsee (now Mondsee Abbey), near Salzburg, and several other foundations in Austria and Bavaria.
During his reign, he also spread the teachings of Christianity, and his efforts led to the conversion"," Conversion of the Pagans in Austria and Germany. He sent to the King Pepin (Pippin III, the Short), who was also the Frankish Mayor of the Palace, asking for his support, which he obtained.
Pepin's help enabled Vergilius to build churches, monasteries, and convents, and to establish the diocese of Salzburg on a firm basis. He also founded the monastery of Mondsee (now Mondsee Abbey), near Salzburg, and several other foundations in Austria and Bavaria.
During his reign, he also spread the teachings of Christianity, and his efforts led to the conversion",z,5.956204499481617,3.615232793212426,33,128,161,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401235,1,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine. It’s an experience that might","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 49ers brass the past couple of days. INDI...
49ers' Hakeem Buttler is 'a beast on the football field'
The Indianapolis Colts are set to take on the San Francisco 49ers in their divisional round playoff game, and it's a game that is expected to be a tough matchup for both teams.
Butler has been one of the more impressive wide receivers in the league this season, and the Colts are looking to get their hands on him.
Colts General Manager Chris Ballard was impressed by Butler's performance in the team's Week 10 game against the Texans, in which he caught five passes for","49ers brass the past couple of days. INDI...
49ers' Hakeem Buttler is 'a beast on the football field'
The Indianapolis Colts are set to take on the San Francisco 49ers in their divisional round playoff game, and it's a game that is expected to be a tough matchup for both teams.
Butler has been one of the more impressive wide receivers in the league this season, and the Colts are looking to get their hands on him.
Colts General Manager Chris Ballard was impressed by Butler's performance in the team's Week 10 game against the Texans, in which he caught five passes for",z,4.656926377504622,3.9977919151996293,35,128,163,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401236,2,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,2,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk around a person inside a virtual environment to see their","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in 360-degree environments. The new player enables seamless integration of the 8...
8i's volumetric 360-degree videos on Facebook Watch and Oculus News
Facebook Watch, the on-demand video service of social media giant Facebook, announced a new content partnership with 8i, a company that creates volumetric 36...
8i raises $14.4M Series A funding to further advance volumetric video technology
8i, the pioneering company behind volumetric video capture and display technology, today announced that it has secured $14.48 million in Series A funding, led by...
8i's Volumetric Videos Come to Oculus Quest","360-degree environments. The new player enables seamless integration of the 8...
8i's volumetric 360-degree videos on Facebook Watch and Oculus News
Facebook Watch, the on-demand video service of social media giant Facebook, announced a new content partnership with 8i, a company that creates volumetric 36...
8i raises $14.4M Series A funding to further advance volumetric video technology
8i, the pioneering company behind volumetric video capture and display technology, today announced that it has secured $14.48 million in Series A funding, led by...
8i's Volumetric Videos Come to Oculus Quest",z,2.3312302072561657,3.943506540868399,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401237,3,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,3,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify","The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 40-acre tech campus near Amazon’s existing office space in Rosslyn.
Here’s a look at what’s at stake:

**What’s the plan:** The county is offering Amazon $23.1 million in economic incentives to build the new tech campus, which is expected to bring up to 4,000 new jobs to the area.

**The site:** The proposed campus would be located on a 40.8-acre site near Amazon’s current offices in Rosslyn, which would be developed in multiple phases over several years.

**The incentives:** The $23.2 million incentive package includes:

* $20 million for site preparation and infrastructure","40-acre tech campus near Amazon’s existing office space in Rosslyn.
Here’s a look at what’s at stake:

**What’s the plan:** The county is offering Amazon $23.1 million in economic incentives to build the new tech campus, which is expected to bring up to 4,000 new jobs to the area.

**The site:** The proposed campus would be located on a 40.8-acre site near Amazon’s current offices in Rosslyn, which would be developed in multiple phases over several years.

**The incentives:** The $23.2 million incentive package includes:

* $20 million for site preparation and infrastructure",z,3.1757850358646413,3.5211550060255026,23,128,151,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401238,4,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,4,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering ","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security an","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering  IT and cybersecurity products and services to Fortune 500 companies and government agencies. Prior to joining the company, he served as a principal at Kroll, Inc., a leading risk consulting and technology firm, where he was responsible for managing their security and privacy practices in the US and Asia. Earlier in his career, he was a managing director at PricewaterhouseCoopers' consulting practice, where he helped clients develop and implement IT and cybersecurity strategies.
Mr. Kispert has written numerous articles and whitepapers on cybersecurity, IT and risk management topics. He is also a frequent speaker at industry conferences and has been a featured guest on several"," IT and cybersecurity products and services to Fortune 500 companies and government agencies. Prior to joining the company, he served as a principal at Kroll, Inc., a leading risk consulting and technology firm, where he was responsible for managing their security and privacy practices in the US and Asia. Earlier in his career, he was a managing director at PricewaterhouseCoopers' consulting practice, where he helped clients develop and implement IT and cybersecurity strategies.
Mr. Kispert has written numerous articles and whitepapers on cybersecurity, IT and risk management topics. He is also a frequent speaker at industry conferences and has been a featured guest on several",z,5.09379698166508,2.7369274908277514,29,128,157,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401239,5,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,5,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The for","The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he  was ""100% certain"" that the alert was accurate at the time he sent it.
""I'm responsible for making sure the message is accurate. I'm responsible for being 100% certain that it's true. And I didn't meet that standard,"" Jessie Dean, the civilian contractor who was in charge of sending emergency alerts on January 13, said during a press conference in Honolulu.
Dean, who worked for a private contractor, Hawaii Emergency Management Agency (HI-EMA), issued the alert at 8:07 a.m. local time saying that a ballistic missile was headed for the islands. The alert was sent out to cell"," was ""100% certain"" that the alert was accurate at the time he sent it.
""I'm responsible for making sure the message is accurate. I'm responsible for being 100% certain that it's true. And I didn't meet that standard,"" Jessie Dean, the civilian contractor who was in charge of sending emergency alerts on January 13, said during a press conference in Honolulu.
Dean, who worked for a private contractor, Hawaii Emergency Management Agency (HI-EMA), issued the alert at 8:07 a.m. local time saying that a ballistic missile was headed for the islands. The alert was sent out to cell",z,5.914155292819389,2.590005906601589,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401240,6,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,6,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! ","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song LP was released on Sept. 29 and is set to shoot pa","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one!  Shania Twair is back in the music scene, releasing her new album, NOW, after a long-awaited break. The singer-songwriter has already made an impact, taking over the music charts.
Shania Twaim is one of the best-selling artists of all time. Known for her powerful and iconic country-pop anthems, like “Man! I Feel Like a Woman!” and “Any Man of Mine,” the queen of country-pop is ready to claim the top spots with her new album.
Fans have been eagerly waiting for new music from the multi-platinum superstar, and she has finally given them what they asked for – an"," Shania Twair is back in the music scene, releasing her new album, NOW, after a long-awaited break. The singer-songwriter has already made an impact, taking over the music charts.
Shania Twaim is one of the best-selling artists of all time. Known for her powerful and iconic country-pop anthems, like “Man! I Feel Like a Woman!” and “Any Man of Mine,” the queen of country-pop is ready to claim the top spots with her new album.
Fans have been eagerly waiting for new music from the multi-platinum superstar, and she has finally given them what they asked for – an",z,4.937063881392245,4.140839054618093,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401241,7,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,7,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and object, as well as texts – al","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 5.
The UK-based Syrian musician Omar Souleyman, known for his traditional Syrian folk music and catchy electronic beats, will be performing at the Byblos International Festival in September.
Souleyman, whose music has gained worldwide recognition, is expected to bring a unique energy to the festival.
The festival, now in its 24th edition, is scheduled to take place from September 7 to 16 at the Old City of Byblos.
The Byblas International Festival aims to promote cultural diversity, artistic exchange and unity among nations. It has featured renowned international artists, including Pink Floyd guitarist David Gilmour and American jazz","5.
The UK-based Syrian musician Omar Souleyman, known for his traditional Syrian folk music and catchy electronic beats, will be performing at the Byblos International Festival in September.
Souleyman, whose music has gained worldwide recognition, is expected to bring a unique energy to the festival.
The festival, now in its 24th edition, is scheduled to take place from September 7 to 16 at the Old City of Byblos.
The Byblas International Festival aims to promote cultural diversity, artistic exchange and unity among nations. It has featured renowned international artists, including Pink Floyd guitarist David Gilmour and American jazz",z,5.0103733306444,3.5314860157579426,27,127,154,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401242,8,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,8,A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado, on Monday, looking","A blind man in his 60s is searching for the young man who pulled him back from an approaching train 20 years ago.
Tony Opolenis was on his daily walk when a young man, described as about 15 years old, intervened and pulled him out of harm's way just in time.
Now, Tony has started a social media search for his savior, who he has been unable to forget.
Tony, who is now 81, said he has thought about the event frequently and wanted to reconnect with the young man, known as the ""angel on my shoulder.""
Tony told ABC News he remembers everything about that day, including the feeling of helplessness as he couldn't move due to his visual impairment.
""It's like it happened","20 years ago.
Tony Opolenis was on his daily walk when a young man, described as about 15 years old, intervened and pulled him out of harm's way just in time.
Now, Tony has started a social media search for his savior, who he has been unable to forget.
Tony, who is now 81, said he has thought about the event frequently and wanted to reconnect with the young man, known as the ""angel on my shoulder.""
Tony told ABC News he remembers everything about that day, including the feeling of helplessness as he couldn't move due to his visual impairment.
""It's like it happened",z,7.1959622114993955,4.4424718188833054,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),4.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,401243,9,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,9,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back on the court. ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine 4 min
As Kevin lay on the hospital floor, writhing in pain and fear, the doctor who had rushed him into emergency surgery calmly reassured his mother, ""We're doing everything we can to save his leg.""
But the questions that still linger in the minds of everyone around Kevin are: will he be able to return to his passion for basketball? Will he ever run, jump, and play the game he loves again?

The diagnosis is a grim one. The orthopedic surgeon had to insert six pins into the shattered remnants of Kevin's tibia and fibula to stabilize his leg. The prognosis for full recovery is","4 min
As Kevin lay on the hospital floor, writhing in pain and fear, the doctor who had rushed him into emergency surgery calmly reassured his mother, ""We're doing everything we can to save his leg.""
But the questions that still linger in the minds of everyone around Kevin are: will he be able to return to his passion for basketball? Will he ever run, jump, and play the game he loves again?

The diagnosis is a grim one. The orthopedic surgeon had to insert six pins into the shattered remnants of Kevin's tibia and fibula to stabilize his leg. The prognosis for full recovery is",z,5.559954718938251,4.230764935394382,31,128,159,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
