pos	char_start	char_end	token_id	uid	token_str	tail	fp_hex	hd_token_fp	is_green	n_attacked_chars_in_prev_window	attacked_chars_in_prev_window
0	0	0	128000	6504730	<|begin_of_text|>		c6721592728fce9a514b74ac0937e7ab49902c84af6de29832d18d12eb739e27	117	1	0	
1	0	1	23	16974392	8		c6721592728fce9a514b74ac0937e7ab49902c84af6de29832d18d12eb739e27	136	0	0	
2	1	2	72	16974441	i	8	c9bd5dee0d7241acfeb9fb9a3e4edb6bc4511b1c017533a3945dade1e66868c6	121	1	0	
3	2	12	7376	7293757	 announced	8i	8e49f50608889f298b78aa7304e45a750e76ddee1904e3a31defc62dd4ae12e9	132	0	0	
4	12	18	3432	6633543	 today	8i announced	9ea35d83032e2a6579880228292d2a07c141a8cfc6da8b4fa4a421c6350fb3e6	123	1	0	
5	18	21	433	16938461	 it	8i announced today	98a31da387ce2857fd8826e47d216a0fb0438957da0a8348f43d00de3103e1ee	119	1	0	
6	21	25	706	7620668	 has	announced today it	9c3325e5868e2853dd8922647de1628f20c3ab76921e86283e7c24ff6143c96b	129	0	0	
7	25	34	11887	7752770	 launched	unced today it has	903325e4969628d7dc0b247646206b8b34c62a76a22602901c0c84b1e9a24a0f	125	1	0	
8	34	36	264	16974433	 a	ay it has launched	c5b732d0d076a7d81c0e61e3d22162a83c0098a5a47039114884d5753976c287	130	0	0	
9	36	40	3566	6498878	 web	 it has launched a	c5a37492f07687581c0a60c7533502a0380098a0247019196c80d56030724387	128	1	0	
10	40	47	2851	6434621	 player	has launched a web	c4ad36bae2760f48084e4bc776315282380091a0b078113b48a5f5e9ba5a818d	130	0	0	
11	47	48	11	16974380	,	nched a web player	448d33fab27e694408555eca6c249394384da1408880188b6cadd590aac6b97c	143	0	0	
12	48	52	279	6697793	 the	ched a web player,	448d317bb03e69440c555eca2c0c9395784da94088821480acadd598aad6997c	133	0	0	
13	52	53	220	16974592	 	 a web player, the	4488f5bad0ae73060d317eca815cb38c38c9a040d9811482bc859c927ef2995c	138	0	0	
14	53	54	23	16974392	8	a web player, the 	4488f5bad0ae73060d317eca815cb38c38c9a040d9811482bc859c927ef2995c	127	1	0	
15	54	55	72	16974441	i	 web player, the 8	4488f93ed85673400e376eca8914938c5891a840c5851c8abc05cc922ce49b29	139	0	0	
16	55	62	34831	7558193	 Portal	web player, the 8i	6408fd3ac81671c00c33fcca8914a3847891a848c78d0480bc05cc823ce69b29	124	1	0	
17	62	63	11	16974380	,	yer, the 8i Portal	68989d8041133380f62328dbc905ba0598978ecdd395ce22b095052af500f20b	115	1	0	
18	63	67	369	7558215	 for	er, the 8i Portal,	681898c1511616a0b6233cc26915ba1598978ecdd385dc20b095042af50cf209	115	1	0	
19	67	71	1202	7625552	 its	the 8i Portal, for	389ed81419340c10e62b18432025aa7da8d78dad9295fea0a0fd6028f42df682	117	1	0	
20	71	77	63920	7161937	 volum	8i Portal, for its	3847d09d113c0c81463b595b206df25fa877a50d9695eca84059343dc019f646	121	1	0	
21	77	82	16743	7559499	etric	tal, for its volum	335250a4813c0cd16279f8482249724ead76a100185f22a95716847c96614bc6	120	1	0	
22	82	83	220	16974592	 	for its volumetric	2db219a097094cf56262c8c8b3d8684ff9e68200c85d42f95fb7c4c802300892	143	0	0	
23	83	84	18	16974387	3	or its volumetric 	2db219a097094cf56262c8c8b3d8684ff9e68200c85d42f95fb7c4c802300892	131	0	0	
24	84	85	35	16974404	D	r its volumetric 3	6dd259e09fa94ef56066c8d836cc6942fff4020868dd42f957bf94c926701880	134	0	0	
25	85	91	2835	6632003	 video	 its volumetric 3D	2d124be09f294ef470e642d8b69c6dcafff4a20c68dd2af117bfd4c826701090	124	1	0	
26	91	94	315	16934869	 of	olumetric 3D video	6d06dbf897357f70302700f2b4de2dabfbe4244de2d558fcdeaf714846603020	116	1	0	
27	94	101	1274	7357508	 people	metric 3D video of	fe07ebec963a2f30a1831872909e2982bbe526cd20f538fcecaf400916403020	122	1	0	
28	101	104	304	16936919	 in	3D video of people	fa0e9fc4173718716430cfeed0dc01523b6f757f94772d742cb693559c452b24	140	0	0	
29	104	105	220	16974592	 	video of people in	fa8ecfc4173b98504430b5eec27cd3f77d0f71fc966c2d342cf63b058c257b64	135	0	0	
30	105	106	18	16974387	3	ideo of people in 	fa8ecfc4173b98504430b5eec27cd3f77d0f71fc966c2d342cf63b058c257b64	145	0	0	
31	106	107	35	16974404	D	deo of people in 3	fa8ecfc41f1b9e9554300dfec278c1f32ccf757b366e2d045c833a05b8657a64	124	1	0	
32	107	113	3634	6435652	 space	eo of people in 3D	728bcbc41c711e91543405dec238d1fb2d8e677f362f27447c873a278841fe64	128	1	0	
33	113	115	627	16911160	.\n	people in 3D space	f20f533208b496d556279d168318d9f5904576ec26620df458ce3b87a0899c66	123	1	0	
34	115	118	791	6697761	The	ople in 3D space.\n	7a0d433208b807d65e279d64811813f5834577c4262305fc784e3a87b0899c66	115	1	0	
35	118	119	220	16974592	 	e in 3D space.\nThe	fa0d1b2158ae57478a2fc524b110bb7502479c0c26eb01e4580c0a06a2059976	119	1	0	
36	119	120	23	16974392	8	 in 3D space.\nThe 	fa0d1b2158ae57478a2fc524b110bb7502479c0c26eb01e4580c0a06a2059976	124	1	0	
37	120	121	72	16974441	i	in 3D space.\nThe 8	ca050b2138aa554b0a2ec524b181bf5580479c0c26eb00e46a4e8a8222059ddd	126	1	0	
38	121	128	34831	7558193	 Portal	n 3D space.\nThe 8i	ca0d0b3178aa1d4b8826c564b9c1ff7580579c1c26db00264a4c8b8262049ddf	128	0	0	
39	128	131	374	16938204	 is	ace.\nThe 8i Portal	989c98a134221540c3020845b045bf5588d71c1d529de520c2ad0038700ff3da	132	0	0	
40	131	133	264	16974433	 a	.\nThe 8i Portal is	889c98a034732400e3160e41a8cdbe79a8df0e0db28de920c0fd85b9b00a639b	128	1	0	
41	133	137	3566	6498878	 web	The 8i Portal is a	4cde90ea3c775c80c3321a652841ae71a8df1f1df784ef2284fc84b8b14ac00a	130	0	0	
42	137	143	6108	6431984	-based	8i Portal is a web	448c12ea3d1f6682e3361c230449e671b81f1381f18deb22c0f907b1b45a8069	116	1	0	
43	143	152	5452	6434621	 platform	tal is a web-based	568c327a3807f08b8335752205e16e00a323908963abeb200cf3859dbf4a01b5	125	1	0	
44	152	157	430	6433597	 that	web-based platform	04a7b35885d5314898a025c6c1d75e80d123991166e3af7c1ef4ccd706e02a90	133	0	0	
45	157	164	6276	7161145	 allows	ased platform that	27a59fd845cd2e18ac8295ce5177cf4a32a3d1b1464f266c47adedde0a212e82	141	0	0	
46	164	175	13707	7819839	 developers	atform that allows	8225177060d52a16ae268504a15c7c42b7834ab0574e6004430df19cf6036a96	120	1	0	
47	175	178	311	16937187	 to	 allows developers	c0ff67277801c146caa50308a104040289ce6fc8525a7b86e396b80465014be7	126	1	0	
48	178	185	6847	7620665	 easily	lows developers to	34c62fa73809c956ca85d38891642c0489c6efc9501e788ae3969a0465b14de7	142	0	0	
49	185	195	32172	7690059	 integrate	velopers to easily	1c3b8b7f18883fba8b8b97ddde37a72a89762a81311878d9af1488fde4915f6a	122	1	0	
50	195	196	220	16974592	 	o easily integrate	281d997ad4c04478b9da957d6e1b9132f87622f73709894ada6622bf45a3c8f7	144	0	0	
51	196	197	23	16974392	8	 easily integrate 	281d997ad4c04478b9da957d6e1b9132f87622f73709894ada6622bf45a3c8f7	133	0	0	
52	197	198	72	16974441	i	easily integrate 8	2e05db1ad0804078ad5ad5fd4a130930e8760bf37703894eda6666bf012ac8f7	141	0	0	
53	198	200	753	10138619	’s	asily integrate 8i	2e05d9bac4a040f98d7ad1fd5a3309b8f8760bb372038b4cd86676af0122c8d7	125	1	0	
54	200	206	63920	7161937	 volum	ily integrate 8i’s	2e05d99cd4c040fbafebb6dd52502130f87e33b302779bcef86332bf01a3c8d5	131	0	0	
55	206	211	16743	7559499	etric	tegrate 8i’s volum	5431d08685b440f57ce882f51060283cac6ccb0999e58bc65087462b07009154	127	1	0	
56	211	217	2835	6632003	 video	te 8i’s volumetric	7db019a09ff054f53ae040c834c0682d7d6e83498addcaba57a3d64b26321150	126	1	0	
57	217	222	1139	7690059	 into	s volumetric video	ee2339e097a35ff030c042f833cc4c4ef967004da2d1faf95f9fc4493274501c	122	1	0	
58	222	231	13335	6498878	 websites	umetric video into	eeaf6b9997685f89a1d04b7af7dc6a0bab2924cd60b1688dbe2a64471b66552c	121	1	0	
59	231	232	11	16974380	,	ideo into websites	c6c78259a2a843fbddc0e922aed123000e068c8170d02006aca007565cef0fe5	126	1	0	
60	232	239	3674	6567493	 social	deo into websites,	064f82d9a2a803fbddc0e922aee1030e0e8e8ca360c43207eca007d65cef1fe1	124	1	0	
61	239	245	3772	6630966	 media	o websites, social	2244c06de1f8b1aa19c26ca09814a106004497614040b23ee7300db25e0e9f67	140	0	0	
62	245	255	15771	6434621	 platforms	ites, social media	2f6cc94ee23891aa09685e231454822471e89fdd4002b33ca7120fd33f0c7657	123	1	0	
63	255	256	11	16974380	,	al media platforms	31acdd70b69509428b620df6c047ca1e50e1b3387ac6360d2cb0229516606210	136	0	0	
64	256	260	323	6633267	 and	l media platforms,	31acdd608699594699620df4c045ea1e50e0b1387987360d3cb0a29116646211	132	0	0	
65	260	267	6505	6501438	 mobile	dia platforms, and	00bd99c11ddd594599320fd6c845c2da10a0a17a7b85a3014db3aa851749e651	130	0	0	
66	267	272	10721	7426369	 apps	tforms, and mobile	16af55c1b9555dc5d01e03114a0ae2ba8425171a6b952b197261ea403eb8e407	124	1	0	
67	272	274	627	16911160	.\n	s, and mobile apps	76ce5dc9b906158f713f0330da5e43a265a542384cc82918c76b6b42b0b93087	125	1	0	
68	274	275	23	16974392	8	 and mobile apps.\n	36cf7d498906178f703e033058de43a26525521864cc2950c74b2b4030b90087	125	1	0	
69	275	276	72	16974441	i	and mobile apps.\n8	766a7969892e1f9ff03a09685a5241a26725de98e4c86958c64b2bc030b909a3	126	1	0	
70	276	277	11	16974380	,	nd mobile apps.\n8i	36637909892c1f8fb03b2920da5241236da5dc90a48c4948c64b23c020f909a7	120	1	0	
71	277	281	4953	6567194	 Inc	d mobile apps.\n8i,	36637929a92e178eb01f0528d85241234da58c98848c4948c44ba3c020f929a3	120	1	0	
72	281	282	13	16974382	.	bile apps.\n8i, Inc	2262792b09ac0312a1920d68dc734133799688b4d5cc4150f54383c022c108a5	124	1	0	
73	282	285	374	16938204	 is	ile apps.\n8i, Inc.	2372f90b298e0396a9120d60dd73413339868896d5ec4140f5439380a26188a5	125	1	0	
74	285	287	264	16974433	 a	 apps.\n8i, Inc. is	087a492329882b56a9160c609cb3617199169db6d5c054d0f88fc3e982dba001	122	1	0	
75	287	298	71674	7358536	 pioneering	pps.\n8i, Inc. is a	497e290269482b5089158364bc43417119429c04c5c0f4daf882f7e0c2f3a003	119	1	0	
76	298	301	15592	16927370	 AI	c. is a pioneering	46c5433ba84a4a71216df1ec010ae3980e001101e04bfc919e4616b2443116c8	127	1	0	
77	301	309	41503	7360268	-powered	is a pioneering AI	664153b38c4fca50604178ec41bb74b88a019400a06958d93e4204b247a006d8	134	0	0	
78	309	319	57088	6833213	 augmented	neering AI-powered	f551dac14c56e216785f4a72459456f882459c82b4ee10cb38c1288b07203390	126	1	0	
