algo,delta,device,model_path,bytekgw_config,seed,prompt_id,c4_source_path,c4_source_line,prompt_text,c4_source_head,full_text,continuation_text,stat_name,stat_value,ppl,prompt_tokens,cont_tokens,full_tokens,prompt_found_in_full,gen_params_json
hf.generate,0.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1234,0,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith in neighbouring heathen countries, especially in Cari","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the 17th of September 15th, to 10th day after Easter, but the date of his death is not certain. The life of St. Vergilius in Böcking's ""Geschichte des Bistums Salzburg"" (1857) is a useful and trustworthy work. St. Vergilius was succeeded by Tassilo I, who governed the see of Salzburg from 785 to 794. Tassilo was a descendant of the Bavarian royal family and was a patron of St. Rupert and St. Virgil. He was also a friend of Charlemagne and participated in the","17th of September 15th, to 10th day after Easter, but the date of his death is not certain. The life of St. Vergilius in Böcking's ""Geschichte des Bistums Salzburg"" (1857) is a useful and trustworthy work. St. Vergilius was succeeded by Tassilo I, who governed the see of Salzburg from 785 to 794. Tassilo was a descendant of the Bavarian royal family and was a patron of St. Rupert and St. Virgil. He was also a friend of Charlemagne and participated in the",none,,3.576605128948942,33,128,161,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1235,1,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine. It’s an experience that might","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 12 defenders in the preseason. He's still standing tall. The Arizona Cardinals' fifth-round draft pick is an imposing figure, with a 6-foot-5, 220-pound frame and the speed and athleticism to burn defenders off the line. But it's more than that. He has the physicality to outmuscle cornerbacks and the route-running skills to create separation.
""I think he's a good football player,"" Indianapolis Colts coach Frank Reich said. ""He's got size, he's got speed, he's got hands. He's a tough guy to cover.""
Montgomery, a fellow wide receiver from Iowa State, v","12 defenders in the preseason. He's still standing tall. The Arizona Cardinals' fifth-round draft pick is an imposing figure, with a 6-foot-5, 220-pound frame and the speed and athleticism to burn defenders off the line. But it's more than that. He has the physicality to outmuscle cornerbacks and the route-running skills to create separation.
""I think he's a good football player,"" Indianapolis Colts coach Frank Reich said. ""He's got size, he's got speed, he's got hands. He's a tough guy to cover.""
Montgomery, a fellow wide receiver from Iowa State, v",none,,2.7262572217539356,35,128,163,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1236,2,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,2,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk around a person inside a virtual environment to see their","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in 3D space. With the new 8i Portal, viewers can watch and interact with volumetric 3D video content in a web browser, no special hardware or software required.

The 8i Portal allows users to view and interact with 8i's volumetric 3D video content, including live events, interviews, and educational content. The portal is compatible with a wide range of devices and browsers, including desktop computers, laptops, tablets, and smartphones.

""We are excited to bring our immersive volumetric 3D video to the masses with the launch of the 8i Portal,"" said 8i CEO, Andrew","3D space. With the new 8i Portal, viewers can watch and interact with volumetric 3D video content in a web browser, no special hardware or software required.

The 8i Portal allows users to view and interact with 8i's volumetric 3D video content, including live events, interviews, and educational content. The portal is compatible with a wide range of devices and browsers, including desktop computers, laptops, tablets, and smartphones.

""We are excited to bring our immersive volumetric 3D video to the masses with the launch of the 8i Portal,"" said 8i CEO, Andrew",none,,1.8072328711495254,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1237,3,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,3,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify","The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 1 million square foot "" HQ2"" campus in the county.
The proposal includes a $23 million grant, a 45-foot height variance, and zoning approvals to build a nine-story office building. The project is expected to bring 4,000 jobs to the area.
The board is also considering providing a $6.5 million contribution towards transportation infrastructure improvements.
Amazon announced last year that it would split its second headquarters, known as HQ2, between Arlington and neighboring Washington D.C. The company has promised to bring thousands of jobs and invest billions of dollars in the area.
The County Board will vote on the proposal during its meeting on","1 million square foot "" HQ2"" campus in the county.
The proposal includes a $23 million grant, a 45-foot height variance, and zoning approvals to build a nine-story office building. The project is expected to bring 4,000 jobs to the area.
The board is also considering providing a $6.5 million contribution towards transportation infrastructure improvements.
Amazon announced last year that it would split its second headquarters, known as HQ2, between Arlington and neighboring Washington D.C. The company has promised to bring thousands of jobs and invest billions of dollars in the area.
The County Board will vote on the proposal during its meeting on",none,,3.047305667507495,23,128,151,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1238,4,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,4,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering ","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security an","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering  IT security solutions for Fortune 500 companies, startups and government agencies. Prior to joining the firm, Kispert was a managing director at KPMG, where he led the U.S. IT Advisory Cybersecurity practice and served as a national thought leader on cyber security matters. Before KPMG, Kispert was the CISO at Raytheon Company, responsible for global information security strategy, risk management and compliance. He also held various leadership roles at Lockheed Martin, Booz Allen Hamilton, and the U.S. Air Force. Kispert holds a master’s degree in Business Administration from the University of Virginia and a bachelor’s"," IT security solutions for Fortune 500 companies, startups and government agencies. Prior to joining the firm, Kispert was a managing director at KPMG, where he led the U.S. IT Advisory Cybersecurity practice and served as a national thought leader on cyber security matters. Before KPMG, Kispert was the CISO at Raytheon Company, responsible for global information security strategy, risk management and compliance. He also held various leadership roles at Lockheed Martin, Booz Allen Hamilton, and the U.S. Air Force. Kispert holds a master’s degree in Business Administration from the University of Virginia and a bachelor’s",none,,2.35247684568587,29,128,157,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1239,5,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,5,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The for","The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he  is  ""sincerely sorry"" for his actions, according to CBS News.
George Powell, who served as a warning and notification officer for the Hawaii Emergency Management Agency, spoke publicly for the first time since his termination, saying, ""I'm sincerely sorry for what happened. I didn't mean to cause any harm or any alarm.""
Powell, a former Air Force veteran, was responsible for issuing the alert on January 13, which mistakenly warned that a ballistic missile was headed for Hawaii. The false alert caused widespread panic and was broadcast on television and sent to cell phones.
Powell said that he was trying to test a new"," is  ""sincerely sorry"" for his actions, according to CBS News.
George Powell, who served as a warning and notification officer for the Hawaii Emergency Management Agency, spoke publicly for the first time since his termination, saying, ""I'm sincerely sorry for what happened. I didn't mean to cause any harm or any alarm.""
Powell, a former Air Force veteran, was responsible for issuing the alert on January 13, which mistakenly warned that a ballistic missile was headed for Hawaii. The false alert caused widespread panic and was broadcast on television and sent to cell phones.
Powell said that he was trying to test a new",none,,2.4701944568236263,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1240,6,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,6,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! ","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song LP was released on Sept. 29 and is set to shoot pa","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain is ready to reclaim her throne as the Queen of Country Pop with her highly anticipated new album NOW, dropping on August 28, 2020. After a 15-year hiatus, the world is eager to see what the music icon has in store for us. With a new album and a world","6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain is ready to reclaim her throne as the Queen of Country Pop with her highly anticipated new album NOW, dropping on August 28, 2020. After a 15-year hiatus, the world is eager to see what the music icon has in store for us. With a new album and a world",none,,1.5805354339451136,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1241,7,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,7,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and object, as well as texts – al","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 8.
BEIRUT: The Lebanese Armed Forces (LAF) and the Islamic State (ISIS) have been at odds for years, but the latter's recent statements have sparked concerns about a potential resurgence of the terrorist group.
In a statement issued last week, ISIS claimed responsibility for a blast that rocked a Palestinian refugee camp in the Bekaa Valley, killing two people and injuring several others.
While the Lebanese government has yet to confirm the extent of ISIS's involvement in the blast, the terrorist group has been increasing its activities in the country in recent months.
In May, ISIS launched a series of attacks in the eastern city of Baal","8.
BEIRUT: The Lebanese Armed Forces (LAF) and the Islamic State (ISIS) have been at odds for years, but the latter's recent statements have sparked concerns about a potential resurgence of the terrorist group.
In a statement issued last week, ISIS claimed responsibility for a blast that rocked a Palestinian refugee camp in the Bekaa Valley, killing two people and injuring several others.
While the Lebanese government has yet to confirm the extent of ISIS's involvement in the blast, the terrorist group has been increasing its activities in the country in recent months.
In May, ISIS launched a series of attacks in the eastern city of Baal",none,,2.4059135538467324,27,128,155,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1242,8,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,8,A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado, on Monday, looking","A blind man in his 60s is searching for the young man who pulled him back from an approaching train 20 years ago. He believes this young man saved his life. He sets out on a journey to find him, driven by his gratitude and the need for closure.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled him off the train tracks just in time, and the blind man wants to thank him and learn more about him.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled","20 years ago. He believes this young man saved his life. He sets out on a journey to find him, driven by his gratitude and the need for closure.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled him off the train tracks just in time, and the blind man wants to thank him and learn more about him.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled",none,,1.8205180323541654,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
hf.generate,0.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,1243,9,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,9,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back on the court. ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine  at Hospital for Special Surgery (HSS) in New York City, weighs in.
As the sports medicine expert, Dr. Glashow has seen her fair share of sports-related injuries. ""The good news about Kevin's injury is that it's a non-life-threatening injury, and with proper care, he can recover well,"" she says. ""However, the road to recovery will be long and challenging.""
Dr. Glashow emphasizes that it's still early days, and the medical team needs to assess the severity of Kevin's injury before making any predictions about his potential return to basketball. ""We'll need to evaluate the extent"," at Hospital for Special Surgery (HSS) in New York City, weighs in.
As the sports medicine expert, Dr. Glashow has seen her fair share of sports-related injuries. ""The good news about Kevin's injury is that it's a non-life-threatening injury, and with proper care, he can recover well,"" she says. ""However, the road to recovery will be long and challenging.""
Dr. Glashow emphasizes that it's still early days, and the medical team needs to assess the severity of Kevin's injury before making any predictions about his potential return to basketball. ""We'll need to evaluate the extent",none,,2.179938956928487,31,128,159,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
