algo,delta,device,model_path,bytekgw_config,kgw_config,seed,prompt_id,c4_source_path,c4_source_line,prompt_text,c4_source_head,full_text,continuation_text,stat_name,stat_value,ppl,prompt_tokens,cont_tokens,full_tokens,prompt_found_in_full,gen_params_json
ByteKGWv5(head),3.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1234,0,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith in neighbouring heathen countries, especially in Cari","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the 5 centuries from a period in his life that he left for a period in the future. He spent a lot of his time in the apostleship of the heathen, converting the people of Salzburg and its environs, as well as those of the neighboring lands. He is also known for his efforts in founding the Benedictine monastery in Nonnberg, Salzburg. He also helped to establish schools and educational institutions. He died on April 13, 813. St. Vergilius is the patron saint of the diocese of Salzburg.
St. Vergili...
Saint Vergilius, patron of the","5 centuries from a period in his life that he left for a period in the future. He spent a lot of his time in the apostleship of the heathen, converting the people of Salzburg and its environs, as well as those of the neighboring lands. He is also known for his efforts in founding the Benedictine monastery in Nonnberg, Salzburg. He also helped to establish schools and educational institutions. He died on April 13, 813. St. Vergilius is the patron saint of the diocese of Salzburg.
St. Vergili...
Saint Vergilius, patron of the",z,4.866642475128174,5.322137455434696,33,128,161,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1235,1,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine. It’s an experience that might","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 49ers brass since the NFL combine in February, and it appears that meeting was a memorable one. “He came off the plane [at the combine], shook my hand and asked if he could have a moment of my time,"" Butler said. “He said, 'I want to make sure you know I appreciate you.'” As Butler recalled, it was a small but significant gesture from a team that clearly valued the physicality and playmaking ability he showcased during his time at Iowa State. Fast-forward a few months, and Butler became a member of the 49ers' offseason roster after being waived by the Jacksonville Jaguars. Despite being","49ers brass since the NFL combine in February, and it appears that meeting was a memorable one. “He came off the plane [at the combine], shook my hand and asked if he could have a moment of my time,"" Butler said. “He said, 'I want to make sure you know I appreciate you.'” As Butler recalled, it was a small but significant gesture from a team that clearly valued the physicality and playmaking ability he showcased during his time at Iowa State. Fast-forward a few months, and Butler became a member of the 49ers' offseason roster after being waived by the Jacksonville Jaguars. Despite being",z,5.444357395172119,4.660219266837412,35,128,163,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1236,2,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,2,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk around a person inside a virtual environment to see their","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in 3D space. The Portal allows users to experience 3D content in a web browser, eliminating the need for specialized hardware like VR headsets or glasses.
With the 8ii Portal, users can browse, watch, and interact with volumetric 8i content on desktops, laptops, or mobile devices, using their mouse or touch gestures. The web player also allows for a more social and community-driven experience, as users can easily share links and explore content with others.
The 8i team has also developed a content discovery and management system that enables users to explore, curate, and share 8i experiences. The","3D space. The Portal allows users to experience 3D content in a web browser, eliminating the need for specialized hardware like VR headsets or glasses.
With the 8ii Portal, users can browse, watch, and interact with volumetric 8i content on desktops, laptops, or mobile devices, using their mouse or touch gestures. The web player also allows for a more social and community-driven experience, as users can easily share links and explore content with others.
The 8i team has also developed a content discovery and management system that enables users to explore, curate, and share 8i experiences. The",z,5.231865406036377,3.5314860157579426,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1237,3,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,3,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify","The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 2.1-million-square-foot headquarters in Crystal City, the former domain of military personnel and defense contractors.
Amazon would build its new headquarters in a 52-acre area in Crystal City that now has a mix of office, retail and residential buildings. The project is expected to create about 4,000 new jobs in Arlington County and boost the local economy.
The Board's vote would approve a deal that would provide Amazon with $23 million in cash incentives, as well as other incentives such as reduced utility costs and access to a new "" Talent Pipeline"" program to help Amazon recruit and retain employees.
The county says the deal will be worth about","2.1-million-square-foot headquarters in Crystal City, the former domain of military personnel and defense contractors.
Amazon would build its new headquarters in a 52-acre area in Crystal City that now has a mix of office, retail and residential buildings. The project is expected to create about 4,000 new jobs in Arlington County and boost the local economy.
The Board's vote would approve a deal that would provide Amazon with $23 million in cash incentives, as well as other incentives such as reduced utility costs and access to a new "" Talent Pipeline"" program to help Amazon recruit and retain employees.
The county says the deal will be worth about",z,4.097586154937744,3.6901387630205487,23,128,151,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1238,4,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,4,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering ","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security an","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering  cybersecurity products and services across multiple sectors including government, commercial, financial, and critical infrastructure. Prior to joining the government, he held various leadership positions at companies like IBM, McAfee, and Lockheed Martin, among others. He earned his bachelor's and master's degrees in electrical engineering from Virginia Tech and his MBA from University of Maryland. Kispart will bring a unique blend of government and industry experience to his new role at the Department of Defense (DoD). “Mr. Kispert’s extensive background in cybersecurity and his knowledge of government and private industry operations make him well-suited to lead our efforts in this critical"," cybersecurity products and services across multiple sectors including government, commercial, financial, and critical infrastructure. Prior to joining the government, he held various leadership positions at companies like IBM, McAfee, and Lockheed Martin, among others. He earned his bachelor's and master's degrees in electrical engineering from Virginia Tech and his MBA from University of Maryland. Kispart will bring a unique blend of government and industry experience to his new role at the Department of Defense (DoD). “Mr. Kispert’s extensive background in cybersecurity and his knowledge of government and private industry operations make him well-suited to lead our efforts in this critical",z,5.652700424194336,3.8596864032691944,29,127,156,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1239,5,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,5,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The for","The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he 100% regrets his action.
State Emergency Management Agency worker, Lt. Col. James “Gene” Concepcion, spoke publicly for the first time since he was fired last month for sending the alert about a missile heading towards Hawaii that was never real.
Concepcion said he was overcome with emotions, including anxiety and confusion, when he made the mistake, and that he didn't intend to cause widespread panic.
""I just didn't want to make another mistake. I knew I was in a high-stress situation,"" Concepcion told KHON2 News. ""I just wanted to make it go away, so I sent the message out.","100% regrets his action.
State Emergency Management Agency worker, Lt. Col. James “Gene” Concepcion, spoke publicly for the first time since he was fired last month for sending the alert about a missile heading towards Hawaii that was never real.
Concepcion said he was overcome with emotions, including anxiety and confusion, when he made the mistake, and that he didn't intend to cause widespread panic.
""I just didn't want to make another mistake. I knew I was in a high-stress situation,"" Concepcion told KHON2 News. ""I just wanted to make it go away, so I sent the message out.",z,5.462198734283447,3.4530497031578906,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1240,6,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,6,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! ","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song LP was released on Sept. 29 and is set to shoot pa","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 12/05/2022
Shania Twaint expected to break charts with new NOW!
After a 15- year hiatus, Shania Twain is back on the scene, and her new album NOW is about to dominate the charts. Despite her long hiatus, Twain remains the one, and fans are eager to hear her new music.
Shania Twaining new album NOW, released on August 6, has sparked immense excitement among her devoted fan base. With its eclectic mix of country, pop, and rock influences, the album promises a unique blend of sounds that will keep her fans engaged and interested.
Given her iconic status","12/05/2022
Shania Twaint expected to break charts with new NOW!
After a 15- year hiatus, Shania Twain is back on the scene, and her new album NOW is about to dominate the charts. Despite her long hiatus, Twain remains the one, and fans are eager to hear her new music.
Shania Twaining new album NOW, released on August 6, has sparked immense excitement among her devoted fan base. With its eclectic mix of country, pop, and rock influences, the album promises a unique blend of sounds that will keep her fans engaged and interested.
Given her iconic status",z,3.6865437030792236,4.247323681168077,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1241,7,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,7,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and object, as well as texts – al","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 6.
BEIRUT: The Lebanese Army Command announced Friday that a group of terrorists who had infiltrated the country through the Syrian border had been killed or arrested, foiling an alleged plot to carry out a series of attacks in Lebanon.
The statement said that a joint operation between the Lebanese Army, the Internal Security Forces (ISF) and the General Directorate of State Security had led to the killing or capture of the terrorists, who had been tracked to the outskirts of the town of Arsal in the Bekaa Valley.
Arsal is a town located near the Syrian border and has been the site of several clashes between the Lebanese military and","6.
BEIRUT: The Lebanese Army Command announced Friday that a group of terrorists who had infiltrated the country through the Syrian border had been killed or arrested, foiling an alleged plot to carry out a series of attacks in Lebanon.
The statement said that a joint operation between the Lebanese Army, the Internal Security Forces (ISF) and the General Directorate of State Security had led to the killing or capture of the terrorists, who had been tracked to the outskirts of the town of Arsal in the Bekaa Valley.
Arsal is a town located near the Syrian border and has been the site of several clashes between the Lebanese military and",z,5.196152687072754,2.4153300332541194,27,128,155,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1242,8,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,8,A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado, on Monday, looking","A blind man in his 60s is searching for the young man who pulled him back from an approaching train 25 years ago. What he doesn't know is that he's about to make the same journey that will take him back to the tragic events of his past.
Original title: La vie en grand
La vie en grand (The Big Picture)2016
Original title:La vie engrand
Mime Pappi
Christoph Bauser
André Schneider
The story takes a lot of liberties with historical facts, but as a fictional drama, it's a compelling and emotional ride. The performances are excellent, and the cinematography is breathtaking, with a great use of visuals to evoke the theme of memory and perception. Overall","25 years ago. What he doesn't know is that he's about to make the same journey that will take him back to the tragic events of his past.
Original title: La vie en grand
La vie en grand (The Big Picture)2016
Original title:La vie engrand
Mime Pappi
Christoph Bauser
André Schneider
The story takes a lot of liberties with historical facts, but as a fictional drama, it's a compelling and emotional ride. The performances are excellent, and the cinematography is breathtaking, with a great use of visuals to evoke the theme of memory and perception. Overall",z,4.733592510223389,5.448348308054142,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(head),3.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,config/KGW.json,1243,9,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,9,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back on the court. ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine  More Dr. Gl...
The NBA (National Basketball Association) has changed over the years. One change is that the NBA used to be a more physical league with a greater empha...  More A Changing Game
Injuries happen often in professional sports. Sometimes the injuries are severe and the player may never play again. Kevin Durant, a professional basket...  More Kevin Durant’s Serious Injury
The NBA ( National Basketball Association) is a professional basketball league that has been around for many years. The league was founded in 1946. Over t...  More The History of the NBA
Playing professional basketball takes a lot of skill,"," More Dr. Gl...
The NBA (National Basketball Association) has changed over the years. One change is that the NBA used to be a more physical league with a greater empha...  More A Changing Game
Injuries happen often in professional sports. Sometimes the injuries are severe and the player may never play again. Kevin Durant, a professional basket...  More Kevin Durant’s Serious Injury
The NBA ( National Basketball Association) is a professional basketball league that has been around for many years. The league was founded in 1946. Over t...  More The History of the NBA
Playing professional basketball takes a lot of skill,",z,5.980392932891846,4.140839054618093,31,128,159,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
