algo,device,model_path,unbiased_config,seed,prompt_id,c4_source_path,c4_source_line,prompt_text,c4_source_head,full_text,continuation_text,gen_params_json
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1235,1,,-1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ",,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 12. A lot of 12s. He's had a dozen offers from various agents. He's been talking to a dozen teams. The first-round prospect from Iowa State...
Hakeem Butler's decision to stay in school a year too long might actually pay off in the long run. The receiver from Iowa State has been flying up draft boards after a strong Combine performance, and he could now be a first-round pick. In fact, Ian Rapoport of NFL Network reports that... The post Hakeem Butler could be a...
Iowa State's Hakeem Butler had a big game in the Cyclones' bowl win","12. A lot of 12s. He's had a dozen offers from various agents. He's been talking to a dozen teams. The first-round prospect from Iowa State...
Hakeem Butler's decision to stay in school a year too long might actually pay off in the long run. The receiver from Iowa State has been flying up draft boards after a strong Combine performance, and he could now be a first-round pick. In fact, Ian Rapoport of NFL Network reports that... The post Hakeem Butler could be a...
Iowa State's Hakeem Butler had a big game in the Cyclones' bowl win","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1237,3,,-1,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 1.2 million square-foot delivery hub at the Pentagon City Mall.
The vote will take place at the County Board meeting scheduled to start at 1 p.m. at the Arlington County Office Building, located at 2100 Clarendon Blvd.

The deal, which has been months in the making, would provide Amazon with a significant economic boost, including:

* A $23 million cash grant from the County’s Economic Development Authority
* A 75% property tax abatement for the first 10 years of the project
* A 50% property tax abatement for an additional 5 years
* Infrastructure improvements,","1.2 million square-foot delivery hub at the Pentagon City Mall.
The vote will take place at the County Board meeting scheduled to start at 1 p.m. at the Arlington County Office Building, located at 2100 Clarendon Blvd.

The deal, which has been months in the making, would provide Amazon with a significant economic boost, including:

* A $23 million cash grant from the County’s Economic Development Authority
* A 75% property tax abatement for the first 10 years of the project
* A 50% property tax abatement for an additional 5 years
* Infrastructure improvements,","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1239,5,,-1,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he  felt a great sense of relief when the alert was finally recalled and that he was ""crushed"" by the negative feedback.
""I felt a sense of relief because I didn't have to carry that weight anymore, and I knew that the emergency management officials were handling the situation,"" Mr. Misao, a civilian worker at the Hawaii Emergency Management Agency (HI-EMA), said. ""But at the same time, I was also crushed by the negative feedback. I didn't expect it to be that harsh.""
Mr. Misao, who did not provide his full name, said he was the only person who received the false alarm,"," felt a great sense of relief when the alert was finally recalled and that he was ""crushed"" by the negative feedback.
""I felt a sense of relief because I didn't have to carry that weight anymore, and I knew that the emergency management officials were handling the situation,"" Mr. Misao, a civilian worker at the Hawaii Emergency Management Agency (HI-EMA), said. ""But at the same time, I was also crushed by the negative feedback. I didn't expect it to be that harsh.""
Mr. Misao, who did not provide his full name, said he was the only person who received the false alarm,","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1241,7,,-1,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ",,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 15.
BEIRUT: On a sweltering summer day, a group of Syrian refugees gathered in the parking lot of a Beirut church to receive vital assistance.
The refugees, mostly women and children, had fled their war-torn homeland in search of a better life in Lebanon. But despite their best efforts, they often struggle to make ends meet, forced to rely on the kindness of strangers for basic necessities like food and medicine.
That's where Father Samaan Massar, a Catholic priest from the nearby Church of St. Anthony, comes in.
For years, Father Massar has dedicated himself to helping the Syrian refugee community in","15.
BEIRUT: On a sweltering summer day, a group of Syrian refugees gathered in the parking lot of a Beirut church to receive vital assistance.
The refugees, mostly women and children, had fled their war-torn homeland in search of a better life in Lebanon. But despite their best efforts, they often struggle to make ends meet, forced to rely on the kindness of strangers for basic necessities like food and medicine.
That's where Father Samaan Massar, a Catholic priest from the nearby Church of St. Anthony, comes in.
For years, Father Massar has dedicated himself to helping the Syrian refugee community in","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1243,9,,-1,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ",,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine  at Hospital for Special Surgery, weighs in on Kevin Durant’s recovery and whether he’ll return to the court.
Dr. David Glashow, Hospital for Special Surgery
""So, first of all, it's unfortunate for Kevin Durant to have suffered such a severe injury. The good news is that it's treatable, and with proper rehabilitation, he has a good chance of returning to full function. The injury is a ruptured Achilles tendon, which is a common injury, especially in basketball players. It's often associated with significant swelling, pain, and limited mobility.

The initial treatment for this type of injury is usually a series of"," at Hospital for Special Surgery, weighs in on Kevin Durant’s recovery and whether he’ll return to the court.
Dr. David Glashow, Hospital for Special Surgery
""So, first of all, it's unfortunate for Kevin Durant to have suffered such a severe injury. The good news is that it's treatable, and with proper rehabilitation, he has a good chance of returning to full function. The injury is a ruptured Achilles tendon, which is a common injury, especially in basketball players. It's often associated with significant swelling, pain, and limited mobility.

The initial treatment for this type of injury is usually a series of","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1245,11,,-1,University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a ,,"University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a 2014 Chevrolet Malibu parked near her apartment complex in Salt Lake City, according to police and reports.
UHP officers arrived at the scene around 9:30 p.m. to find McCluskey, 21, unresponsive in the car. She was pronounced dead at the scene, according to a release from the Salt Lake City Police Department.
Lauren McCluskey was a 21-year-old student athlete, sprinter and distance runner. She was shot and killed in her car near her apartment complex in Salt Lake City, Utah.
Lauren McCluskey was a 21-year-old student athlete, sprinter and distance","2014 Chevrolet Malibu parked near her apartment complex in Salt Lake City, according to police and reports.
UHP officers arrived at the scene around 9:30 p.m. to find McCluskey, 21, unresponsive in the car. She was pronounced dead at the scene, according to a release from the Salt Lake City Police Department.
Lauren McCluskey was a 21-year-old student athlete, sprinter and distance runner. She was shot and killed in her car near her apartment complex in Salt Lake City, Utah.
Lauren McCluskey was a 21-year-old student athlete, sprinter and distance","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1247,13,,-1,"The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth ",,"The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth 1 with the X-ray and gamma-ray sources detected by the Chandra X-ray Observatory (bottom) and the Compton Gamma Ray Observatory (top). The scale of Earth 1 is roughly 100 miles (160 kilometers) across.
NASA's Chandra X-ray Observatory and the Compton Gamma Ray Observatory have captured images of a massive solar flare in X-rays and gamma-rays, respectively. The flare occurred on July 15, 2002, and is seen erupting from the Sun at the left in the image. The blue color represents X-ray emission detected by Chandra, while the red color represents gamma-ray emission detected by the","1 with the X-ray and gamma-ray sources detected by the Chandra X-ray Observatory (bottom) and the Compton Gamma Ray Observatory (top). The scale of Earth 1 is roughly 100 miles (160 kilometers) across.
NASA's Chandra X-ray Observatory and the Compton Gamma Ray Observatory have captured images of a massive solar flare in X-rays and gamma-rays, respectively. The flare occurred on July 15, 2002, and is seen erupting from the Sun at the left in the image. The blue color represents X-ray emission detected by Chandra, while the red color represents gamma-ray emission detected by the","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1249,15,,-1,"Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los ",,"Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los  more »
By Sharon McNary, KPCC
ORANGE COUNTY (KPCC) — Election Day is here and voters in Orange County are casting their ballots. KPCC reporter Sharon McNary has been visiting several polling stations across the county and found a mix of excitement and enthusiasm.
At the O.C. Fair and Event Center in Costa Mesa, volunteers handed out flags and campaign buttons to passersby. ""Vote yes on Measure V!"" shouted one volunteer, referencing the ballot measure that would establish a new sales tax for transportation projects.
Outside the polling station in Irvine's University Town Center, voter Christine Lee said she's excited to cast"," more »
By Sharon McNary, KPCC
ORANGE COUNTY (KPCC) — Election Day is here and voters in Orange County are casting their ballots. KPCC reporter Sharon McNary has been visiting several polling stations across the county and found a mix of excitement and enthusiasm.
At the O.C. Fair and Event Center in Costa Mesa, volunteers handed out flags and campaign buttons to passersby. ""Vote yes on Measure V!"" shouted one volunteer, referencing the ballot measure that would establish a new sales tax for transportation projects.
Outside the polling station in Irvine's University Town Center, voter Christine Lee said she's excited to cast","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1251,17,,-1,Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus. ,,"Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus. 600 passengers were on board the ship.
The ship, which was operated by Carnival Corporation's P&O Cruises Australia, docked in Auckland on Wednesday after it was forced to cancel its previous port of call in Australia due to the outbreak.
All passengers who fell ill were treated by the ship's medical staff and were in ""good condition,"" said New Zealand's Ministry of Health in a statement. No serious cases were reported, and no passengers were hospitalized.
The ship will remain docked in Auckland for the next few days to allow for a thorough cleaning and disinfection of the vessel.
Cruise ships are particularly vulnerable to norovirus","600 passengers were on board the ship.
The ship, which was operated by Carnival Corporation's P&O Cruises Australia, docked in Auckland on Wednesday after it was forced to cancel its previous port of call in Australia due to the outbreak.
All passengers who fell ill were treated by the ship's medical staff and were in ""good condition,"" said New Zealand's Ministry of Health in a statement. No serious cases were reported, and no passengers were hospitalized.
The ship will remain docked in Auckland for the next few days to allow for a thorough cleaning and disinfection of the vessel.
Cruise ships are particularly vulnerable to norovirus","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
unbiased,cuda:1,../Meta-Llama-3-8B-Instruct,config/Unbiased.json,1253,19,,-1,NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise ,,"NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise  the debt ceiling?
The answer is yes, though it's not a certainty. Moody's Investors Service, one of the major credit rating agencies, said Tuesday that the U.S. could still lose its top-rated Aaa credit rating even if Congress agrees to increase the debt ceiling.
Moody's analysts said they would consider factors such as the length of time it takes to raise the debt ceiling, the size of the increase and whether the deal includes measures to reduce the deficit or improve the nation's fiscal outlook.
""We would view a short-term solution as being less credit-positive than a more durable and sustainable solution that addresses the underlying drivers of"," the debt ceiling?
The answer is yes, though it's not a certainty. Moody's Investors Service, one of the major credit rating agencies, said Tuesday that the U.S. could still lose its top-rated Aaa credit rating even if Congress agrees to increase the debt ceiling.
Moody's analysts said they would consider factors such as the length of time it takes to raise the debt ceiling, the size of the increase and whether the deal includes measures to reduce the deficit or improve the nation's fiscal outlook.
""We would view a short-term solution as being less credit-positive than a more durable and sustainable solution that addresses the underlying drivers of","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
