algo,delta,device,model_path,bytekgw_config,seed,prompt_id,c4_source_path,c4_source_line,prompt_text,c4_source_head,full_text,continuation_text,stat_name,stat_value,ppl,prompt_tokens,cont_tokens,full_tokens,prompt_found_in_full,gen_params_json
ByteKGWv5(all),1.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101234,0,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith in neighbouring heathen countries, especially in Cari","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the 11th century to bring the pagan nations and the Slavs of Moravia, and his missionary efforts in the West, he was considered a saint in the. Vergilius I, also called Vergilius of Salzburg, was the fourth bishop of the diocese of Salzburg in the Kingdom of Bavaria. At this time, the church of St.
Vergilius I (or Vergilius) (also known as St.
Vigilius, or Vigilius of Heisterbach) (died 810) was the Bishop of Salzbur… 4, the relics of St. Vergili","11th century to bring the pagan nations and the Slavs of Moravia, and his missionary efforts in the West, he was considered a saint in the. Vergilius I, also called Vergilius of Salzburg, was the fourth bishop of the diocese of Salzburg in the Kingdom of Bavaria. At this time, the church of St.
Vergilius I (or Vergilius) (also known as St.
Vigilius, or Vigilius of Heisterbach) (died 810) was the Bishop of Salzbur… 4, the relics of St. Vergili",z,2.2924681755898093,6.721245216879584,33,128,161,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101235,1,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine. It’s an experience that might","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 49ers coach Kyle Shanahan's coaching staff during the 2022 NFL combine, a sign that the former Iowa State wide receiver is a serious option for San Francisco in the first round. More »
The latest news, analysis and insights from the world of cycling. ""We're on the cusp of something really big,"" says team principal Jim Ochowicz as they target a podium finish at the Tour de France. More »
""I have faith in my abilities, and I know I can play in the NFL,"" Chavis Bell said. CHAMPAIGN, Ill. — Chavis Bell has a strong chance to become the next","49ers coach Kyle Shanahan's coaching staff during the 2022 NFL combine, a sign that the former Iowa State wide receiver is a serious option for San Francisco in the first round. More »
The latest news, analysis and insights from the world of cycling. ""We're on the cusp of something really big,"" says team principal Jim Ochowicz as they target a podium finish at the Tour de France. More »
""I have faith in my abilities, and I know I can play in the NFL,"" Chavis Bell said. CHAMPAIGN, Ill. — Chavis Bell has a strong chance to become the next",z,3.165064817377875,4.132759371223819,35,128,163,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101236,2,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,2,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk around a person inside a virtual environment to see their","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in 360-degree environments. The 8i technology allows users to look around and interact with these videos, just like they would with real people.
The 8i team has been working with various partners to create content for the portal, including the Dallas Mavericks, the Dallas Cowboys, and the Los Angeles Times. The portal is accessible from any device with a web browser and allows users to experience a new level of immersion.
""We're thrilled to bring this revolutionary technology to the world through our web player, and we're excited to partner with brands and content creators to push the boundaries of what's possible,"" said Andrew Fedak, CEO of 8","360-degree environments. The 8i technology allows users to look around and interact with these videos, just like they would with real people.
The 8i team has been working with various partners to create content for the portal, including the Dallas Mavericks, the Dallas Cowboys, and the Los Angeles Times. The portal is accessible from any device with a web browser and allows users to experience a new level of immersion.
""We're thrilled to bring this revolutionary technology to the world through our web player, and we're excited to partner with brands and content creators to push the boundaries of what's possible,"" said Andrew Fedak, CEO of 8",z,1.3632909716108494,3.0354253485982663,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101237,3,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,3,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify","The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 10-story, 350-unit apartment building in the Rosslyn neighborhood.
The Arlington County Supervisor, Christian Dorsey, presented the proposal to the Board Tuesday. He said that the incentives are necessary to convince Amazon to bring the project to Rosslyn, which has seen significant development in recent years.
According to a report by the County Manager, the project will include 17,500 square feet of retail space, as well as a new parking garage. The building will be located at 1550 Wilson Boulevard, adjacent to the Rosslyn Metro station.
The $23 million in incentives includes a combination of zoning incentives, property tax relief, and other","10-story, 350-unit apartment building in the Rosslyn neighborhood.
The Arlington County Supervisor, Christian Dorsey, presented the proposal to the Board Tuesday. He said that the incentives are necessary to convince Amazon to bring the project to Rosslyn, which has seen significant development in recent years.
According to a report by the County Manager, the project will include 17,500 square feet of retail space, as well as a new parking garage. The building will be located at 1550 Wilson Boulevard, adjacent to the Rosslyn Metro station.
The $23 million in incentives includes a combination of zoning incentives, property tax relief, and other",z,1.733504118135347,2.973809378544393,23,128,151,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101238,4,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,4,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering ","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security an","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering  managed security services and cyber solutions. Prior to joining ESI, he was the Vice President of Global Cyber and Information Security at Verizon, where he was responsible for the development, sales and delivery of cyber and managed security services.
Kispert also held various leadership roles at Cisco Systems, including leading the company’s global security services business, where he developed and executed a comprehensive strategy to drive growth, profitability and innovation in the security services market. Throughout his career, Kispert has developed deep expertise in areas such as risk management, threat intelligence, incident response, and compliance.
Kispret holds a Bachelor of Science degree in Computer Science from"," managed security services and cyber solutions. Prior to joining ESI, he was the Vice President of Global Cyber and Information Security at Verizon, where he was responsible for the development, sales and delivery of cyber and managed security services.
Kispert also held various leadership roles at Cisco Systems, including leading the company’s global security services business, where he developed and executed a comprehensive strategy to drive growth, profitability and innovation in the security services market. Throughout his career, Kispert has developed deep expertise in areas such as risk management, threat intelligence, incident response, and compliance.
Kispret holds a Bachelor of Science degree in Computer Science from",z,3.3417686372588045,2.8543042695862293,29,128,157,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101239,5,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,5,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The for","The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he 100% regrets the false alarm and is still trying to come to terms with the consequences.
Moon, who worked for the Hawaii Emergency Management Agency, was the first to warn of an incoming ballistic missile attack, which led to widespread panic and confusion. He later claimed that he had pushed the wrong button and that there was no missile threat.
Moon told Hawaii News Now that he is still grappling with the aftermath of the incident and is trying to move forward. ""I wish I could have taken it back,"" he said. ""But 100 percent, I regret it. I regret the fear, the panic, the trauma that I caused.""
He","100% regrets the false alarm and is still trying to come to terms with the consequences.
Moon, who worked for the Hawaii Emergency Management Agency, was the first to warn of an incoming ballistic missile attack, which led to widespread panic and confusion. He later claimed that he had pushed the wrong button and that there was no missile threat.
Moon told Hawaii News Now that he is still grappling with the aftermath of the incident and is trying to move forward. ""I wish I could have taken it back,"" he said. ""But 100 percent, I regret it. I regret the fear, the panic, the trauma that I caused.""
He",z,1.8122211266581734,2.723596160743495,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101240,6,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,6,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! ","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song LP was released on Sept. 29 and is set to shoot pa","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one!  Shania Twian is releasing her highly anticipated new album, NOW, on August 28th. According to various predictions, NOW! is expected to perform exceptionally well on the charts. Her iconic comeback album is projected to debut at number one on the US Billboard 200 chart and earn around 120,000 to 150,000 album-equivalent units in its first week of release, as per Variety.

Read More: Shania Twain announces highly anticipated comeback album NOW!

Shania Twan's ""NOW"" to Break Charts
Shania Twanian has announced that she will release a new album, ""NOW"", on August"," Shania Twian is releasing her highly anticipated new album, NOW, on August 28th. According to various predictions, NOW! is expected to perform exceptionally well on the charts. Her iconic comeback album is projected to debut at number one on the US Billboard 200 chart and earn around 120,000 to 150,000 album-equivalent units in its first week of release, as per Variety.

Read More: Shania Twain announces highly anticipated comeback album NOW!

Shania Twan's ""NOW"" to Break Charts
Shania Twanian has announced that she will release a new album, ""NOW"", on August",z,0.09607320292961047,4.12872544341226,30,128,158,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101241,7,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,7,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and object, as well as texts – al","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 10.
BEIRUT: The Lebanese Army launched a major operation Tuesday against ISIS in the country's eastern border town of Ras Baalbeck, in an effort to flush out the militants who have been hiding in the area for months.
The operation, dubbed ""Fortitude,"" comes after the group launched a series of attacks on army positions and Lebanese soldiers over the past week.
Army Commander General Joseph Aoun said in a statement that the operation aimed to ""root out"" the remaining ISIS fighters in the area and to ensure the country's security.
According to reports, the army has deployed troops from various units, including Special Forces, to Ras","10.
BEIRUT: The Lebanese Army launched a major operation Tuesday against ISIS in the country's eastern border town of Ras Baalbeck, in an effort to flush out the militants who have been hiding in the area for months.
The operation, dubbed ""Fortitude,"" comes after the group launched a series of attacks on army positions and Lebanese soldiers over the past week.
Army Commander General Joseph Aoun said in a statement that the operation aimed to ""root out"" the remaining ISIS fighters in the area and to ensure the country's security.
According to reports, the army has deployed troops from various units, including Special Forces, to Ras",z,4.610329094405469,2.8626787504420794,27,128,155,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:0,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101242,8,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,8,A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado, on Monday, looking","A blind man in his 60s is searching for the young man who pulled him back from an approaching train 40 years ago. When a series of inexplicable events leads him to a young couple, he is convinced that they are the same two who saved him. The story unravels the threads of a long-ago tragedy, testing the limits of memory, trust, and the power of human connection.
A blind man named Joe, who has been searching for the two strangers who saved him from a train 40 year ago. His obsession with finding them is fueled by the memory of that fateful day and the hope that they may be able to help him find his lost wife who went missing after the train incident.
As Joe navigates his","40 years ago. When a series of inexplicable events leads him to a young couple, he is convinced that they are the same two who saved him. The story unravels the threads of a long-ago tragedy, testing the limits of memory, trust, and the power of human connection.
A blind man named Joe, who has been searching for the two strangers who saved him from a train 40 year ago. His obsession with finding them is fueled by the memory of that fateful day and the hope that they may be able to help him find his lost wife who went missing after the train incident.
As Joe navigates his",z,2.6548049835950898,3.636477978831971,24,128,152,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
ByteKGWv5(all),1.0,cuda:1,../Meta-Llama-3-8B-Instruct,config/ByteKGWv5.json,101243,9,dataset/c4/realnewslike/c4-train.00000-of-00512.json.gz,9,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back on the court. ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine 5 4:00 PM, ""The Injury"" - With Kevin's leg injury healing slowly, Kevin 12 15:00 ""The Injury"", ""The Injury""
S7E15: ""The Injury""- With Kevin's 12:00 AM, ""The Future"" - Will Kevin ever play basketball after his horrific injury? The entire 11:59 PM, ""Life of the Party"" - It's the night before the basketball banquet, and Kevin 24 hours ago... and the season is over. 20 hours ago... S7E20: ""The Banquet"" - It’s the night of the basketball","5 4:00 PM, ""The Injury"" - With Kevin's leg injury healing slowly, Kevin 12 15:00 ""The Injury"", ""The Injury""
S7E15: ""The Injury""- With Kevin's 12:00 AM, ""The Future"" - Will Kevin ever play basketball after his horrific injury? The entire 11:59 PM, ""Life of the Party"" - It's the night before the basketball banquet, and Kevin 24 hours ago... and the season is over. 20 hours ago... S7E20: ""The Banquet"" - It’s the night of the basketball",z,3.4321819387936836,7.638514331186566,31,128,159,True,"{""do_sample"": true, ""eos_token_id"": 128009, ""max_new_tokens"": 128, ""pad_token_id"": 128009, ""repetition_penalty"": 1.0, ""temperature"": 1.0, ""top_k"": 50, ""top_p"": 0.95, ""use_cache"": true}"
