algo,alpha,gamma,device,model_path,dip_config,seed,prompt_id,c4_source_path,c4_source_line,prompt_text,c4_source_head,full_text,continuation_text,gen_params_json
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1235,1,,-1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ",,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 12. That was the number of NFL scouts and coaches watching him at his Pro Day at Iowa State earlier this year. ""This kid's got everything you want in a wide receiver,"" Montgomery, the general manager of the Chicago Bears, said. ""He's big, he's fast, he's physical, he can make plays on the ball. Whoever gets him, they'll be getting a good one."" Butler, a 6-foot-6, 224-pound receiver from Knoxville, Tennessee, has been one of the most intriguing prospects at the position in this year's NFL Draft. He impressed with a 4.48 40","12. That was the number of NFL scouts and coaches watching him at his Pro Day at Iowa State earlier this year. ""This kid's got everything you want in a wide receiver,"" Montgomery, the general manager of the Chicago Bears, said. ""He's big, he's fast, he's physical, he can make plays on the ball. Whoever gets him, they'll be getting a good one."" Butler, a 6-foot-6, 224-pound receiver from Knoxville, Tennessee, has been one of the most intriguing prospects at the position in this year's NFL Draft. He impressed with a 4.48 40","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1237,3,,-1,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 1.2 million square-foot delivery station at the site of a former gas station in the Columbia Pike neighborhood.
The proposal is part of a deal that would require Amazon to agree to certain conditions, including:
Building a new loading dock on Columbia Pike
Creating 500 new jobs with an average salary of $40,000
Providing 10% of the new jobs to Arlington residents who live in the Pike or adjacent neighborhoods
Amazon would also be required to:
Renovate the existing building to fit its needs
Maintain the building’s façade to ensure it remains architecturally appealing
Contribute to the local community through charitable donations","1.2 million square-foot delivery station at the site of a former gas station in the Columbia Pike neighborhood.
The proposal is part of a deal that would require Amazon to agree to certain conditions, including:
Building a new loading dock on Columbia Pike
Creating 500 new jobs with an average salary of $40,000
Providing 10% of the new jobs to Arlington residents who live in the Pike or adjacent neighborhoods
Amazon would also be required to:
Renovate the existing building to fit its needs
Maintain the building’s façade to ensure it remains architecturally appealing
Contribute to the local community through charitable donations","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1239,5,,-1,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he  felt a great sense of relief when the alert was finally recalled and that he was grateful the response was not more severe.
Testimony by George S. Moon, a civilian employee of the Hawaii Emergency Management Agency, came at a state legislative hearing about the incident.
Moon described the chaos that ensued after he mistakenly believed a real ballistic missile was heading towards the islands and issued a false alert on January 13.
""It was like the whole room fell apart,"" Moon said, describing the reaction of his colleagues in the emergency operations center. ""We were scrambling to figure out what was going on and how to correct it.""
Moon said he was """," felt a great sense of relief when the alert was finally recalled and that he was grateful the response was not more severe.
Testimony by George S. Moon, a civilian employee of the Hawaii Emergency Management Agency, came at a state legislative hearing about the incident.
Moon described the chaos that ensued after he mistakenly believed a real ballistic missile was heading towards the islands and issued a false alert on January 13.
""It was like the whole room fell apart,"" Moon said, describing the reaction of his colleagues in the emergency operations center. ""We were scrambling to figure out what was going on and how to correct it.""
Moon said he was ""","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1241,7,,-1,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ",,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 15.
BEIRUT: On a sweltering summer day, a group of Syrian refugees gathered in the parking lot of a Beirut church to receive vital assistance.
The refugees, mostly women and children, had fled their war-torn homeland in search of a better life in Lebanon. But their journey has been marked by struggles to access basic necessities like food, shelter and healthcare.
Among them was Fatima, a 35-year-old mother of four who had lost her husband in the fighting. Her family had been living in a cramped and unsanitary apartment in Beirut, struggling to make ends meet on a meager income.
But thanks","15.
BEIRUT: On a sweltering summer day, a group of Syrian refugees gathered in the parking lot of a Beirut church to receive vital assistance.
The refugees, mostly women and children, had fled their war-torn homeland in search of a better life in Lebanon. But their journey has been marked by struggles to access basic necessities like food, shelter and healthcare.
Among them was Fatima, a 35-year-old mother of four who had lost her husband in the fighting. Her family had been living in a cramped and unsanitary apartment in Beirut, struggling to make ends meet on a meager income.
But thanks","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1243,9,,-1,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ",,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine  at Hospital for Special Surgery, weighs in on the rehabilitation process and what it would take for Kevin to return to the court.
Dr. Glashow: ""First and foremost, I want to emphasize that we are all optimistic about Kevin’s chances of returning to basketball. His injury was severe, but with proper rehabilitation and therapy, we can help him regain his strength, flexibility, and mobility.""

""Kevin is already in the process of undergoing physical therapy, which is crucial for rebuilding his strength, particularly in his quadriceps and hamstring muscles. He is working closely with his physical therapist to develop a customized rehabilitation program that focuses on his specific"," at Hospital for Special Surgery, weighs in on the rehabilitation process and what it would take for Kevin to return to the court.
Dr. Glashow: ""First and foremost, I want to emphasize that we are all optimistic about Kevin’s chances of returning to basketball. His injury was severe, but with proper rehabilitation and therapy, we can help him regain his strength, flexibility, and mobility.""

""Kevin is already in the process of undergoing physical therapy, which is crucial for rebuilding his strength, particularly in his quadriceps and hamstring muscles. He is working closely with his physical therapist to develop a customized rehabilitation program that focuses on his specific","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1245,11,,-1,University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a ,,"University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a 2014 Chevrolet Malibu parked near her apartment complex in Salt Lake City, according to police and reports.
McCluskey, 21, was a senior on the school's track and field team and was considered a rising star in the sport. She was killed around 9 p.m. Monday night, police said.
The suspect, Melvin Rowland, 37, was shot by police at the scene and later died, authorities said. Police are investigating the motive behind the killing.
McCluskey and Rowland had a brief romantic relationship earlier this year, but it was not a violent or abusive relationship, according to police","2014 Chevrolet Malibu parked near her apartment complex in Salt Lake City, according to police and reports.
McCluskey, 21, was a senior on the school's track and field team and was considered a rising star in the sport. She was killed around 9 p.m. Monday night, police said.
The suspect, Melvin Rowland, 37, was shot by police at the scene and later died, authorities said. Police are investigating the motive behind the killing.
McCluskey and Rowland had a brief romantic relationship earlier this year, but it was not a violent or abusive relationship, according to police","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1247,13,,-1,"The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth ",,"The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth 1) relative to other planets in our solar system, 2) to the average distance between the Earth and the Moon, and 3) to the distance from the Earth to the Sun.
The X-ray flare that occurred on July 15, 2002, was detected by NASA's Earth orbiting observatory, the Chandra X-ray Observatory. The flare was observed by Chandra's X-ray Telescope, which is sensitive to X-rays emitted by hot, high-energy plasmas.
The location of the flare was in the northern hemisphere, near the equator, in the region of the Earth's magnetic field where the magnetic","1) relative to other planets in our solar system, 2) to the average distance between the Earth and the Moon, and 3) to the distance from the Earth to the Sun.
The X-ray flare that occurred on July 15, 2002, was detected by NASA's Earth orbiting observatory, the Chandra X-ray Observatory. The flare was observed by Chandra's X-ray Telescope, which is sensitive to X-rays emitted by hot, high-energy plasmas.
The location of the flare was in the northern hemisphere, near the equator, in the region of the Earth's magnetic field where the magnetic","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1249,15,,-1,"Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los ",,"Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los  more »
By Sharon McNary, KPCC
The election is just a few days away, and Orange County voters are casting their ballots. KPCC's Sharon McNary has been hitting the streets, talking to voters and reporting back to us. Larry Mantle checks in with her to find out what she's learned so far. more » « Less
Oct 28, 2012 10:30 AM (GMT)   Oct 28, 2012 10:30 AM (GMT) 6:35
KCRW's 'To the Point' / Nov 06, 2012
L"," more »
By Sharon McNary, KPCC
The election is just a few days away, and Orange County voters are casting their ballots. KPCC's Sharon McNary has been hitting the streets, talking to voters and reporting back to us. Larry Mantle checks in with her to find out what she's learned so far. more » « Less
Oct 28, 2012 10:30 AM (GMT)   Oct 28, 2012 10:30 AM (GMT) 6:35
KCRW's 'To the Point' / Nov 06, 2012
L","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1251,17,,-1,Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus. ,,"Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus. 600 passengers were on board the ship.
The ship, which was operated by Carnival Corporation's P&O Cruises Australia, docked in Auckland on February 25th. It was forced to remain in port as authorities conducted an investigation and treatment of those infected.
The health authorities in New Zealand are saying that the risk of the virus spreading to other people is low, but they are still taking precautions to prevent its spread.
The norovirus is a highly contagious virus that causes stomach flu symptoms such as diarrhea, vomiting, and stomach cramps. It is often spread through contaminated food, water, or close contact with someone who is infected","600 passengers were on board the ship.
The ship, which was operated by Carnival Corporation's P&O Cruises Australia, docked in Auckland on February 25th. It was forced to remain in port as authorities conducted an investigation and treatment of those infected.
The health authorities in New Zealand are saying that the risk of the virus spreading to other people is low, but they are still taking precautions to prevent its spread.
The norovirus is a highly contagious virus that causes stomach flu symptoms such as diarrhea, vomiting, and stomach cramps. It is often spread through contaminated food, water, or close contact with someone who is infected","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
dip,0.35,0.5,cuda:1,../Meta-Llama-3-8B-Instruct,config/DIP.json,1253,19,,-1,NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise ,,"NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise  the debt ceiling?
The answer is yes, though it's not a certainty. Moody's Investors Service, one of the major credit rating agencies, has said it could consider downgrading the U.S. government's credit rating if the government's debt outlook remains uncertain even if a deal is reached to raise the debt ceiling.
That's because Moody's is concerned about the long-term sustainability of the U.S. government's debt and the potential for future budget battles. The agency has already warned that it could downgrade the U.S. credit rating if lawmakers fail to reach a deal or if the deal is not sufficient to ensure the country's debt"," the debt ceiling?
The answer is yes, though it's not a certainty. Moody's Investors Service, one of the major credit rating agencies, has said it could consider downgrading the U.S. government's credit rating if the government's debt outlook remains uncertain even if a deal is reached to raise the debt ceiling.
That's because Moody's is concerned about the long-term sustainability of the U.S. government's debt and the potential for future budget battles. The agency has already warned that it could downgrade the U.S. credit rating if lawmakers fail to reach a deal or if the deal is not sufficient to ensure the country's debt","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
