algo,delta,device,seed,prompt_index,prompt_id,prompt_text,full_text,continuation_text,gen_params_json
kgw,2.0,1,1235,1,1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ","""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by 12 men in jerseys almost as much as he has seen the inside of an opponent's secondary this season. Indiana State's sophomore wide receiver has been one of the most targeted players in the country, drawing double teams and extra attention from defenses in every game. Despite that, he's had a monster season with 75 receptions for 1,268 yards and nine touchdowns. Montgomery, a former...
Tags: News : Butler Hakeem : Butler State Indiana : Montgomery David
Indianapolis 500: Helio Castroneves becomes oldest winner with fourth Indy 500 victory
Helio Castroneves became the oldest winner in Indianapolis","12 men in jerseys almost as much as he has seen the inside of an opponent's secondary this season. Indiana State's sophomore wide receiver has been one of the most targeted players in the country, drawing double teams and extra attention from defenses in every game. Despite that, he's had a monster season with 75 receptions for 1,268 yards and nine touchdowns. Montgomery, a former...
Tags: News : Butler Hakeem : Butler State Indiana : Montgomery David
Indianapolis 500: Helio Castroneves becomes oldest winner with fourth Indy 500 victory
Helio Castroneves became the oldest winner in Indianapolis","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1237,3,3,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a 1 million-square-foot fulfillment center in Arlington. Here are the details of the proposal:

* The county will give Amazon a cash grant of $10 million, and another $13 million in infrastructure improvements. The infrastructure improvements will include expanding the intersection of Route 110 and Fairfax County Parkway to accommodate increased traffic.
* The incentives are expected to create 1,000 temporary construction jobs and up to 1,400 permanent jobs at the center.
* The county estimates the center will generate an additional $2.5 million in annual tax revenue, which will help to offset the costs of the incentives.
* The county's Economic Development Director, Victor","1 million-square-foot fulfillment center in Arlington. Here are the details of the proposal:

* The county will give Amazon a cash grant of $10 million, and another $13 million in infrastructure improvements. The infrastructure improvements will include expanding the intersection of Route 110 and Fairfax County Parkway to accommodate increased traffic.
* The incentives are expected to create 1,000 temporary construction jobs and up to 1,400 permanent jobs at the center.
* The county estimates the center will generate an additional $2.5 million in annual tax revenue, which will help to offset the costs of the incentives.
* The county's Economic Development Director, Victor","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1239,5,5,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he  is  ""sincerely sorry"" and ""accepts full responsibility"" for the incident.
""We knew immediately that something was wrong, and we should have been more thorough,"" said Lenny Chang, the emergency management worker who was responsible for issuing the alert. ""I take full responsibility, I apologize sincerely, and I accept whatever consequences come my way.""
Chang and his supervisor, Vern Miyagi, were both fired last week after an investigation by the state's Emergency Management Agency found that they had failed to follow proper protocols in issuing the alert.
The incident caused widespread panic on the islands and raised concerns about the reliability of the state's"," is  ""sincerely sorry"" and ""accepts full responsibility"" for the incident.
""We knew immediately that something was wrong, and we should have been more thorough,"" said Lenny Chang, the emergency management worker who was responsible for issuing the alert. ""I take full responsibility, I apologize sincerely, and I accept whatever consequences come my way.""
Chang and his supervisor, Vern Miyagi, were both fired last week after an investigation by the state's Emergency Management Agency found that they had failed to follow proper protocols in issuing the alert.
The incident caused widespread panic on the islands and raised concerns about the reliability of the state's","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1241,7,7,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ","A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 8.
The Lebanese government has signed a deal with a Turkish company to establish a power station in Tripoli's northern suburbs, the state-run National News Agency (NNA) reported yesterday.
The new power station, set to be built in the area of Jdaideh, is expected to increase the city's electricity generation capacity, according to the NNA.
Under the agreement, Turkish company Kalyon will invest in the construction and operation of the power station, with the Lebanese government providing the necessary land and infrastructure support.
The deal is part of the Lebanese government's efforts to improve the country's electricity sector, which has been plagued","8.
The Lebanese government has signed a deal with a Turkish company to establish a power station in Tripoli's northern suburbs, the state-run National News Agency (NNA) reported yesterday.
The new power station, set to be built in the area of Jdaideh, is expected to increase the city's electricity generation capacity, according to the NNA.
Under the agreement, Turkish company Kalyon will invest in the construction and operation of the power station, with the Lebanese government providing the necessary land and infrastructure support.
The deal is part of the Lebanese government's efforts to improve the country's electricity sector, which has been plagued","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1243,9,9,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ","After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine 2, is the expert who can offer hope. Will his injury be a career-ending setback, or can he make a miraculous recovery?
Meanwhile, the drama between Coach Ericson and his players continues to escalate, with even more surprising revelations about the team. As the pressure to perform on and off the court mounts, alliances begin to form and old friendships are put to the test.
As tensions rise, secrets are spilled, and relationships are put to the test. Will Kevin find the courage to confront his injuries, and will the team come together to support him, or will the season end in disaster? You won’t want to miss the thrilling","2, is the expert who can offer hope. Will his injury be a career-ending setback, or can he make a miraculous recovery?
Meanwhile, the drama between Coach Ericson and his players continues to escalate, with even more surprising revelations about the team. As the pressure to perform on and off the court mounts, alliances begin to form and old friendships are put to the test.
As tensions rise, secrets are spilled, and relationships are put to the test. Will Kevin find the courage to confront his injuries, and will the team come together to support him, or will the season end in disaster? You won’t want to miss the thrilling","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1245,11,11,University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a ,"University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a 2014 Chevrolet Impala parked on campus.
Lauren McCluskey, a University of Utah track and field athlete, was found shot dead Monday night in the backseat of a 2014 Chevrolet Impala parked on campus.
McCluskey, 21, was a senior majoring in communication and a native of Idaho Falls, Idaho. She was a successful track and field athlete who had been a team captain for the Utes.
The Salt Lake City Police Department responded to a call about a disturbance at 8:20 p.m. Monday night and found McCluskey's body in the parked car. She had been shot","2014 Chevrolet Impala parked on campus.
Lauren McCluskey, a University of Utah track and field athlete, was found shot dead Monday night in the backseat of a 2014 Chevrolet Impala parked on campus.
McCluskey, 21, was a senior majoring in communication and a native of Idaho Falls, Idaho. She was a successful track and field athlete who had been a team captain for the Utes.
The Salt Lake City Police Department responded to a call about a disturbance at 8:20 p.m. Monday night and found McCluskey's body in the parked car. She had been shot","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1247,13,13,"The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth ","The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth 1.3 million km (800,000 miles) from the blast to that of other objects in the solar system. At right, a portion of the Sun from June 23, 2002, is shown next to a portion of the Sun from July 17, 2002. Credit: NASA
The Solar Dynamics Observatory (SDO) satellite, launched in 2010, has been observing the Sun's magnetic field and radiation for several years, providing scientists with unprecedented data and insights into the Sun's behavior.
SDO has helped researchers better understand the Sun's internal dynamics and the processes that drive space weather. Space weather","1.3 million km (800,000 miles) from the blast to that of other objects in the solar system. At right, a portion of the Sun from June 23, 2002, is shown next to a portion of the Sun from July 17, 2002. Credit: NASA
The Solar Dynamics Observatory (SDO) satellite, launched in 2010, has been observing the Sun's magnetic field and radiation for several years, providing scientists with unprecedented data and insights into the Sun's behavior.
SDO has helped researchers better understand the Sun's internal dynamics and the processes that drive space weather. Space weather","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1249,15,15,"Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los ","Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los 5:12
Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los
Sharon McNary, KPCC’s Orange County Bureau Chief, returns to the studio after canvassing several polling stations throughout the day, sharing her observations and insights from voters across Orange County. How was the mood at the polls? Were there long lines? What issues were voters most passionate about? Sharon’s got the scoop! 5:12
In this 5-minute audio recording, KPCC reporter Sharon McNary returns to the studio after canvassing several polling stations throughout the day, sharing","5:12
Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los
Sharon McNary, KPCC’s Orange County Bureau Chief, returns to the studio after canvassing several polling stations throughout the day, sharing her observations and insights from voters across Orange County. How was the mood at the polls? Were there long lines? What issues were voters most passionate about? Sharon’s got the scoop! 5:12
In this 5-minute audio recording, KPCC reporter Sharon McNary returns to the studio after canvassing several polling stations throughout the day, sharing","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1251,17,17,Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus. ,"Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus.  This information was shared on Monday, April 15, 2019.
The ship has been at sea since departing on March 22, and it was expected to return to New Zealand on April 17, 2019. However, the cruise was cancelled on April 13, 2019, due to the outbreak.
Norovirus is a highly contagious and infectious illness that can cause nausea, vomiting, diarrhea, and stomach cramps. It is often spread by person-to-person contact or by consuming contaminated food or water.
According to reports, health officials are conducting an investigation into the outbreak to determine the source and prevent future outbreaks"," This information was shared on Monday, April 15, 2019.
The ship has been at sea since departing on March 22, and it was expected to return to New Zealand on April 17, 2019. However, the cruise was cancelled on April 13, 2019, due to the outbreak.
Norovirus is a highly contagious and infectious illness that can cause nausea, vomiting, diarrhea, and stomach cramps. It is often spread by person-to-person contact or by consuming contaminated food or water.
According to reports, health officials are conducting an investigation into the outbreak to determine the source and prevent future outbreaks","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
kgw,2.0,1,1253,19,19,NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise ,"NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise  ...
WASHINGTON (AP) — President Barack Obama and congressional leaders are working to avoid a  ...
NEW YORK (AP) — The Dow Jones industrial average rose Monday, helped by strong earnings reports  ...
WASHINGTON (AP) — The White House is signaling that it's open to changing the terms of its  ...
WASHINGTON (AP) — President Barack Obama and House Speaker John Boehner have agreed to hold  ...
WASHINGTON (AP) — The U.S. economy expanded at a 2.8 percent annual rate in the spring, driven  ...
Fitch Downgrades Bank of America to BB+ on Sovereign Risk"," ...
WASHINGTON (AP) — President Barack Obama and congressional leaders are working to avoid a  ...
NEW YORK (AP) — The Dow Jones industrial average rose Monday, helped by strong earnings reports  ...
WASHINGTON (AP) — The White House is signaling that it's open to changing the terms of its  ...
WASHINGTON (AP) — President Barack Obama and House Speaker John Boehner have agreed to hold  ...
WASHINGTON (AP) — The U.S. economy expanded at a 2.8 percent annual rate in the spring, driven  ...
Fitch Downgrades Bank of America to BB+ on Sovereign Risk","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}"
