prompt_text,stat_value
"""Oh, you are stuck on homework problem number 13? I found a solution on YouTube. That helped a lot. Just ",1.0922959863553696
"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ",-0.48523952349657334
"(HOST) As the season for summer blockbuster movies about super heroes and rings of power approaches, commentator Willem Lange is ",-0.9621932253130071
(Reuters) - U.S. ride services firm Lyft Inc is in talks with an advisor for a targeted March or April ,-1.4910108123046428
"(Trinidad Guardian) It has been 42 days since Gan­gad­har Hanooman, 49, has been miss­ing and rel­a­tives in re­new­ing their calls ",1.5004256511096488
"1 Then the people of the land took Jehoahaz the son of Josiah, and made him king in his father's ",2.395806506536584
10 diversity items for June 29: Unemployment up in most U.S. cities; Pew report shows diversity of U.S. Hispanics and ,1.7672334600118949
2 bedroom home with extra room for office or 3rd bedroom. Kitchen features Oak cabinets. Home features wood flooring in ,1.1489719832932301
"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ",-1.4068657721814743
"A Chicago judge on Thursday dismissed a patent case between Apple and Motorola because, he said, neither side could adequately ",-0.1621294899708393
A District Court decision overturning major provisions of three Executive Orders has been appealed. Here is a summary of the ,-0.298770490746736
A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,0.3913955279773978
A concrete slab and 10-foot high block walls with exposed rebar sit behind a chain link fence as an ugly ,-0.9092154326128945
"A large, brand-new movie studio in Palm Beach County already has a potential box-office hit. Twentieth Century Fox will film ",0.39284618830160756
A live events and bespoke creative technical solutions company based in Loughborough is seeking a technical project manager to join ,0.04981580375365967
"A primary school caretaker has been found guilty of attacking a group of teenagers. Karl Lucas, 27, of Manor Fields, ",0.11263712167223022
"A rocket attack by ISIS militants in northern Syria caused symptoms of “chemical gas” in 22 Syrian rebels, state media ",-1.1537321212627858
"A spokesman for the Red Crescent, Mahmoud al-Saadi, said Israeli forces opened fire on two young men who were traveling ",0.3088035373295549
A three member bench of the Supreme Court has adjourned the hearing of Orange Line Metro Train case till Friday. ,-0.1245374522195439
"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ",1.7164488992428835
"AMC Networks Earnings Beat Estimates, CEO Says 'Walking Dead' Franchise ""Will Have a Long Life"" AMC Networks on Thursday reported ",-0.09061290462876148
"According to Variety, one of the movies about the 1973 tennis match between Billie Jean King and Bobby Riggs is ",-0.37572195755364274
Adventist HealthCare seeks to hire a Med Surg Registered Nurse who will embrace our mission to extend God's care through ,-1.6856965753956485
Advocates for government accountability were alarmed to learn Gov. Jared Polis was undecided on whether to veto a bill to ,0.2623440545832633
Adweek: So what’s a digital-media tyro like you doing at a fusty old-media company like CBS? Jim Lanzone: I don’t ,0.5867785906057361
"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ",1.142469871776799
"After much anticipation, Melania Trump has finally given the world a glimpse of her platform. Like those before her, Trump ",1.390968021852453
"After rebranding from beverages to a blockchain company, Long Blockchain says it is refocusing yet again and launching operations related ",-1.7146989907622967
"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ",-0.7248644559125477
"After your business is up and running, your focus naturally shifts to increasing efficiency. The small things you do to ",1.5381989427699854
"Amazingly, half of all Americans say they don’t care about government surveillance — and during a random sampling of people ",-0.9956627437322798
An Alsip police officer seriously wounded a man in an on-duty shooting early Wednesday after tracking a Cadillac suspected of ,2.3580457979732596
And yet the Cardinals are in position to complete a three-game sweep of the Cubs on Sunday night after erasing ,-1.628319109704809
"Anna C. Christensen has been a supporter of family planning since high school, when she stuffed envelopes as a volunteer ",0.636802665149464
"Are stoners now a target advertising demographic for fast food companies? Ever since Harold and Kumar went to White Castle, ",1.6002633000167128
"As many British visitors to France have learnt to their dismay, if you ask a local, “Parlez-vous anglais?”, the answer ",1.5334249344346378
"Assembly Minority Leader Pat Hickey, R-Reno, will have a GOP primary election opponent in 2014. Richard Fineberg, a retired lawyer ",0.2713973349792244
"Attendees visit the Vodafone Group pavilion at the Mobile World Congress in Barcelona, Spain, March 4, 2015. Vodafone, one of ",1.4052395146009171
"BAGHDAD, Iraq -- Fighting in the Shiite stronghold of Sadr City killed 23 Iraqis yesterday, hospital officials said, and the ",-1.076595345494379
"Back in 1982, the Endangered Species Act took the ocelot under its protection. The ocelot is a vulnerable creature, susceptible ",0.08846532480718405
Bengaluru — Gold prices rose on Thursday as the growing expectation that the US Federal Reserve will pause its rate ,-0.9014440842779526
"Boston Marathon Bombing Suspect Enters Not Guilty Pleas In 1st Public Court HearingFor the first plea, Dzhokhar Tsarnaev leaned toward ",0.7887477809345034
"Can Container Store Start 2015 on a Positive Note? In 2014, it was hard to find bad-performing stocks, as the ",-1.0570884723865748
"Check out the Charleston Parks Conservancy's newest glow-up project at their inaugural Hampton Park culinary event, Shucked + Sauced, Sat. ",0.012968220231352245
"Chee Wei Wong, professor of electrical and computer engineering in the UCLA Samueli School of Engineering, was named a fellow ",-1.026884926343139
Combined company will make Chevron second-largest petroleum producer in the world. The combined company will remain far behind Exxon Mobil ,0.7048685798656196
Come test your luck on the best slot machine app in the app store. Great graphics make this app so ,-0.17566441844398573
"Customers line up to purchase lottery tickets, Monday, Oct. 22, 2018, at La Preferida Superdiscount store in Hialeah, Fla. For ",-0.2189858635040144
"DAVENPORT - Don Skipper, an administrative assistant at Ridge Community High School, was named the school's head boys basketball coach ",1.676729395859766
"DAVIDSON, N.C., Jan. 10, 2019 /PRNewswire/ -- Rocus Networks, a managed cybersecurity service provider for business, announced today that it ",-1.063763658227813
Do Twinkle and mum Dimple share a wardrobe? The star wife was missing for a greater part of the year ,0.9090331589442652
"Do as I did, started my own business and see how much work it takes and then go from there. ",-1.5752944789909924
Dubai: The Dubai Financial Market (DFM) witnessed another round of selling on Monday as traders remained cautious ahead of a ,-0.2945349284214737
"Due to Hurricane Irene, parts of New Jersey were declared a federal disaster area this week. Federal funding is available ",0.6737095940957649
"Elvis Costello played a two-hour, 25-song show that touched on phases throughout his career, both deep cuts and hits, as ",0.5111622418749351
"Equipped with their own factory, they make different kinds of outstanding fish cake. Fish cake in Busan is the most ",0.08554883277485877
"Every morning on The Style Blog, we celebrate the best footwear weve come across. Now, for your benefit, its all ",0.019984379742826797
"FILE - Guinea security forces, center, face people rioting and burning rubbish and other goods in the streets of Conakry, ",-1.419772514079733
